,Lover_Taylor Swift
0,could
1,leave
2,christmas
3,lights
4,'til
5,january
6,place
7,make
8,rules
9,there's
10,dazzling
11,haze
12,mysterious
13,way
14,dear
15,known
16,seconds
17,years
18,go
19,go
20,always
21,close
22,forever
23,ever
24,ah
25,take
26,take
27,home
28,lover
29,could
30,let
31,friends
32,crash
33,living
34,room
35,place
36,make
37,call
38,i'm
39,highly
40,suspicious
41,everyone
42,sees
43,wants
44,i've
45,loved
46,three
47,summers
48,honey
49,want
50,'em
51,go
52,go
53,always
54,close
55,forever
56,ever
57,ah
58,take
59,take
60,home
61,forever
62,ever
63,lover
64,bridge
65,ladies
66,gentlemen
67,please
68,stand
69,every
70,guitar
71,string
72,scar
73,hand
74,take
75,magnetic
76,force
77,man
78,lover
79,heart's
80,borrowed
81,blue
82,all's
83,well
84,ends
85,well
86,end
87,swear
88,overdramatic
89,true
90,lover
91,save
92,dirtiest
93,jokes
94,every
95,table
96,i'll
97,save
98,seat
99,lover
100,go
101,go
102,always
103,close
104,forever
105,ever
106,ah
107,take
108,take
109,home
110,forever
111,ever
112,oh
113,darling
114,lover
