,Ink_Coldplay
0,got
1,tattoo
2,said
3,together
4,thru
5,life
6,carved
7,your
8,name
9,my
10,pocket
11,knife
12,you
13,wonder
14,you
15,wake
16,alright
17,ooooh
18,ooh
19,feels
20,like
21,there's
22,something
23,broken
24,inside
25,i
26,know
27,i
28,know
29,i'm
30,lost
31,whenever
32,you
33,go
34,i
35,know
36,i
37,love
38,you
39,much
40,hurts
41,got
42,tattoo
43,pain's
44,alright
45,oooh
46,oooh
47,wanted
48,way
49,keeping
50,you
51,inside
52,ooooh
53,ooh
54,i
55,know
56,i
57,know
58,i'm
59,lost
60,your
61,fire
62,i
63,know
64,i
65,love
66,you
67,much
68,hurts
69,bridgeoutro
70,i
71,see
72,road
73,begin
74,climb
75,i
76,see
77,your
78,stars
79,begin
80,shine
81,i
82,see
83,your
84,colors
85,i'm
86,dying
87,thirst
88,i
89,know
90,i
91,love
92,you
93,much
94,hurts
95,oh
96,yeah
97,yeah
98,yeah
99,much
100,hurts
101,much
102,hurts
