,Blood Bank_Bon Iver
0,well
1,i
2,met
3,you
4,blood
5,bank
6,looking
7,bags
8,wondering
9,colors
10,matched
11,names
12,knew
13,tags
14,you
15,said
16,see
17,look
18,that's
19,yours
20,stacked
21,top
22,your
23,brother's
24,see
25,resemble
26,one
27,another's
28,even
29,plastic
30,little
31,covers
32,i
33,said
34,i
35,know
36,well
37,secret
38,you
39,know
40,know
41,tell
42,fucks
43,your
44,honor
45,teases
46,your
47,head
48,you
49,know
50,good
51,girl
52,running
53,you
54,red
55,snow
56,started
57,falling
58,stuck
59,your
60,car
61,you
62,rubbing
63,my
64,hands
65,chewing
66,candy
67,bar
68,you
69,said
70,ain't
71,like
72,present
73,showing
74,like
75,moon
76,waned
77,crescent
78,started
79,kiss
80,i
81,said
82,i
83,know
84,well
85,secret
86,know
87,know
88,tell
89,i'm
90,love
91,your
92,honor
93,i'm
94,love
95,your
96,cheeks
97,what's
98,noise
99,stairs
100,babe
101,christmas
102,morning
103,creaks
104,i
105,know
106,well
107,i
108,know
109,well
110,i
111,know
112,well
113,i
114,know
115,well
116,i
117,know
118,well
119,i
120,know
121,well
122,i
123,know
124,well
125,i
126,know
127,well
