,You and Me_The Cranberries
0,i'm
1,going
2,tonight
3,'cause
4,want
5,go
6,staying
7,home
8,tonight
9,'cause
10,want
11,know
12,revealed
13,world
14,would
15,never
16,dwelling
17,happiness
18,gift
19,purity
20,eheeoh
21,eheeoh
22,eheeoh
23,eheeoh
24,eheeoh
25,eheeoh
26,eheeoh
27,eheeoh
28,aaah
29,always
30,forever
31,eternally
32,always
33,taylor
34,taylor
35,taylor
36,taylor
37,pay
38,attention
39,ones
40,never
41,cared
42,find
43,direction
44,'cause
45,there's
46,sweetness
47,air
48,world
49,always
50,dwelling
51,happiness
52,gift
53,purity
54,eheeoh
55,eheeoh
56,eheeoh
57,eheeoh
58,eheeoh
59,eheeoh
60,eheeoh
61,eheeoh
62,aaah
63,always
64,forever
65,eternally
66,always
67,always
68,forever
69,eternally
70,always
71,forever
72,eternally
73,taylor
74,taylor
75,taylor
76,taylor
77,taylor
78,taylor
79,taylor
80,taylor
