,Technicolour Beat_Oh Wonder
0,josephine
1,vander
2,gucht
3,anthony
4,west
5,lay
6,your
7,slow
8,come
9,settle
10,settle
11,let
12,loose
13,your
14,glow
15,come
16,settle
17,settle
18,prechorus
19,josephine
20,vander
21,gucht
22,anthony
23,west
24,i
25,feel
26,life
27,first
28,time
29,love
30,my
31,arms
32,sun
33,my
34,eyes
35,i
36,feel
37,safe
38,5am
39,light
40,you
41,carry
42,my
43,fears
44,heavens
45,set
46,fire
47,josephine
48,vander
49,gucht
50,anthony
51,west
52,jump
53,heat
54,spinning
55,feet
56,technicolour
57,beat
58,you
59,me
60,caught
61,dream
62,technicolour
63,beat
64,beat
65,beat
66,beat
67,josephine
68,vander
69,gucht
70,anthony
71,west
72,warm
73,unalone
74,come
75,settle
76,settle
77,swing
78,me
79,your
80,bones
81,come
82,settle
83,settle
84,prechorus
85,josephine
86,vander
87,gucht
88,anthony
89,west
90,i
91,feel
92,life
93,first
94,time
95,love
96,my
97,arms
98,sun
99,my
100,eyes
101,i
102,feel
103,safe
104,5am
105,light
106,you
107,carry
108,my
109,fears
110,heavens
111,set
112,fire
113,josephine
114,vander
115,gucht
116,anthony
117,west
118,jump
119,heat
120,spinning
121,feet
122,technicolour
123,beat
124,you
125,me
126,caught
127,dream
128,technicolour
129,beat
130,beat
131,josephine
132,vander
133,gucht
134,anthony
135,west
136,give
137,me
138,one
139,drop
140,i
141,feel
142,you
143,make
144,me
145,lose
146,control
147,we'll
148,walking
149,water
150,we're
151,moving
152,technicolour
153,beat
154,moving
155,technicolour
156,beat
157,variation
158,josephine
159,vander
160,gucht
161,anthony
162,west
163,jump
164,heat
165,falling
166,ceiling
167,spinning
168,feet
169,we're
170,moving
171,technicolour
172,beat
173,you
174,me
175,found
176,another
177,feeling
178,caught
179,dream
180,we're
181,moving
182,technicolour
183,beat
184,jump
185,heat
186,spinning
187,feet
188,we're
189,moving
190,technicolour
191,beat
192,you
193,me
194,caught
195,dream
196,we're
197,moving
198,technicolour
199,beat
200,josephine
201,vander
202,gucht
203,anthony
204,west
205,beat
206,beat
