,Mind Games_John Lennon
0,we're
1,playing
2,mind
3,games
4,together
5,pushing
6,barrier
7,planting
8,seed
9,playing
10,mind
11,guerilla
12,chanting
13,mantra
14,peace
15,earth
16,playing
17,mind
18,games
19,forever
20,kind
21,druid
22,dude
23,lifting
24,veil
25,mind
26,guerilla
27,call
28,magic
29,search
30,grail
31,love
32,answer
33,you
34,know
35,sure
36,love
37,flower
38,you
39,gotta
40,let
41,gotta
42,let
43,grow
44,keep
45,playing
46,mind
47,games
48,together
49,faith
50,future
51,you
52,can't
53,beat
54,mind
55,guerillas
56,absolute
57,elsewhere
58,stones
59,your
60,mind
61,yeah
62,we're
63,playing
64,mind
65,games
66,forever
67,projecting
68,images
69,space
70,time
71,yes
72,answer
73,you
74,know
75,sure
76,yes
77,surrender
78,you
79,gotta
80,let
81,you
82,gotta
83,let
84,go
85,keep
86,playing
87,mind
88,games
89,together
90,ritual
91,dance
92,sun
93,millions
94,mind
95,guerillas
96,putting
97,soul
98,power
99,karmic
100,wheel
101,keep
102,playing
103,mind
104,games
105,forever
106,raising
107,spirit
108,peace
109,love
110,love
111,i
112,want
113,you
114,make
115,love
116,war
117,i
118,know
119,you've
120,heard
