,The Blower's Daughter_Damien Rice
0,damien
1,rice
2,like
3,you
4,said
5,would
6,life
7,goes
8,easy
9,me
10,time
11,damien
12,rice
13,shorter
14,story
15,love
16,glory
17,hero
18,her
19,skies
20,damien
21,rice
22,i
23,can't
24,take
25,my
26,eyes
27,you
28,i
29,can't
30,take
31,my
32,eyes
33,you
34,i
35,can't
36,take
37,my
38,eyes
39,you
40,i
41,can't
42,take
43,my
44,eyes
45,you
46,i
47,can't
48,take
49,my
50,eyes
51,you
52,i
53,can't
54,take
55,my
56,eyes
57,damien
58,rice
59,like
60,you
61,said
62,we'll
63,forget
64,breeze
65,time
66,damien
67,rice
68,colder
69,water
70,blower's
71,daughter
72,pupil
73,denial
74,damien
75,rice
76,i
77,can't
78,take
79,my
80,eyes
81,you
82,i
83,can't
84,take
85,my
86,eyes
87,you
88,i
89,can't
90,take
91,my
92,eyes
93,you
94,i
95,can't
96,take
97,my
98,eyes
99,you
100,i
101,can't
102,take
103,my
104,eyes
105,you
106,i
107,can't
108,take
109,my
110,eyes
111,you
112,lisa
113,hannigan
114,oh
115,i
116,say
117,i
118,loathe
119,you
120,i
121,say
122,i
123,want
124,leave
125,behind
126,damien
127,rice
128,i
129,can't
130,take
131,my
132,mind
133,you
134,i
135,can't
136,take
137,my
138,mind
139,you
140,i
141,can't
142,take
143,my
144,mind
145,you
146,i
147,can't
148,take
149,my
150,mind
151,you
152,i
153,can't
154,take
155,my
156,mind
157,you
158,i
159,can't
160,take
161,my
162,mind
163,you
164,my
165,mind
166,my
167,mind
168,till
169,i
170,find
171,somebody
172,new
