,Heart of Stone_The Rolling Stones
0,there've
1,many
2,girls
3,i've
4,known
5,i've
6,made
7,many
8,cry
9,still
10,i
11,wonder
12,comes
13,little
14,girl
15,i
16,see
17,her
18,walking
19,street
20,she
21,herself
22,i
23,try
24,knock
25,her
26,her
27,feet
28,she'll
29,never
30,break
31,never
32,break
33,never
34,break
35,never
36,break
37,heart
38,stone
39,oh
40,heart
41,stone
42,what's
43,different
44,her
45,i
46,really
47,know
48,matter
49,i
50,try
51,i
52,can't
53,make
54,her
55,cry
56,'cause
57,she'll
58,never
59,break
60,never
61,break
62,never
63,break
64,never
65,break
66,heart
67,stone
68,oh
69,heart
70,stone
71,keep
72,looking
73,old
74,way
75,you
76,try
77,acting
78,sad
79,you
80,make
81,me
82,glad
83,better
84,listen
85,little
86,girl
87,you
88,go
89,walking
90,street
91,i
92,ain't
93,got
94,love
95,i
96,ain't
97,kind
98,meet
99,'cause
100,she'll
101,never
102,break
103,never
104,break
105,never
106,break
107,never
108,break
109,heart
110,stone
111,oh
112,you'll
113,never
114,break
115,heart
116,stone
117,darling
118,heart
119,stone
120,you'll
121,never
122,break
123,darling
124,you
125,break
126,heart
127,stone
128,oh
129,you
130,better
131,go
132,you
133,better
134,go
135,home
136,'cause
137,you'll
138,you'll
139,never
140,break
141,heart
142,stone
143,you
144,better
145,you
146,better
147,drive
148,home
