,Daphne Descends_The Smashing Pumpkins
0,sugar
1,sickness
2,spy
3,kidnap
4,kid
5,kids
6,oblivion
7,it’s
8,perfect
9,hassle
10,perfumed
11,kiss
12,makes
13,miss
14,home
15,love
16,love
17,love
18,cannot
19,can’t
20,resist
21,love
22,love
23,love
24,one
25,one
26,else
27,past
28,sidewalk
29,ashes
30,last
31,lovers'
32,arc
33,come
34,apart
35,intertwine
36,simple
37,watched
38,move
39,across
40,darkness
41,room
42,love
43,love
44,love
45,one
46,one
47,else
48,bridge
49,winding
50,vines
51,pretty
52,boys
53,dive
54,pinhole
55,stars
56,shadow
57,mind
58,lose
59,gentle
60,dawn
61,boy
62,gone
63,love
64,love
65,love
66,one
67,one
68,else
69,love
70,love
71,love
72,cannot
73,can’t
74,resist
75,outro
76,love
77,love
78,love
79,love
80,love
81,love
82,love
83,love
84,love
85,love
86,him…
