,Ocean Avenue_Yellowcard
0,there's
1,place
2,ocean
3,avenue
4,i
5,used
6,sit
7,talk
8,you
9,sixteen
10,felt
11,right
12,sleepin'
13,day
14,stayin'
15,night
16,stayin'
17,night
18,there's
19,place
20,corner
21,cherry
22,street
23,would
24,walk
25,beach
26,bare
27,feet
28,eighteen
29,felt
30,right
31,sleepin'
32,day
33,stayin'
34,night
35,stayin'
36,night
37,i
38,could
39,find
40,you
41,things
42,would
43,get
44,better
45,could
46,leave
47,town
48,run
49,forever
50,let
51,your
52,waves
53,crash
54,me
55,take
56,me
57,away
58,there's
59,piece
60,you
61,that's
62,me
63,everywhere
64,i
65,go
66,everything
67,i
68,see
69,i
70,sleep
71,i
72,dream
73,gets
74,me
75,i
76,makebelieve
77,you're
78,tonight
79,you're
80,tonight
81,i
82,could
83,find
84,you
85,things
86,would
87,get
88,better
89,could
90,leave
91,town
92,run
93,forever
94,i
95,know
96,somewhere
97,somehow
98,we'll
99,together
100,let
101,your
102,waves
103,crash
104,me
105,take
106,me
107,away
108,i
109,remember
110,look
111,your
112,eyes
113,i
114,told
115,you
116,goodbye
117,you
118,beggin'
119,me
120,tonight
121,we're
122,looking
123,night
124,sky
125,ooh
126,keep
127,pretendin'
128,sun
129,rise
130,ooh
131,we'll
132,together
133,one
134,night
135,ooh
136,somewhere
137,somehow
138,i
139,could
140,find
141,you
142,things
143,would
144,get
145,better
146,could
147,leave
148,town
149,run
150,forever
151,i
152,know
153,somewhere
154,somehow
155,we'll
156,together
157,let
158,your
159,waves
160,crash
161,me
162,take
163,me
164,away
