,Ne me quitte pas_Jacques Brel
0,intéressée
1,par
2,l'explication
3,des
4,paroles
5,de
6,cette
7,chanson
8,ou
9,d'autres
10,venez
11,faire
12,l'analyse
13,des
14,textes
15,avec
16,nous
17,couplet
18,ne
19,me
20,quitte
21,pas
22,il
23,faut
24,oublier
25,tout
26,peut
27,s'oublier
28,qui
29,s'enfuit
30,déjà
31,oublier
32,le
33,temps
34,des
35,malentendus
36,et
37,le
38,temps
39,perdu
40,savoir
41,comment
42,oublier
43,ces
44,heures
45,qui
46,tuaient
47,parfois
48,coups
49,de
50,pourquoi
51,le
52,coeur
53,du
54,bonheur
55,refrain
56,ne
57,me
58,quitte
59,pas
60,ne
61,me
62,quitte
63,pas
64,ne
65,me
66,quitte
67,pas
68,ne
69,me
70,quitte
71,pas
72,couplet
73,moi
74,je
75,t'offrirai
76,des
77,perles
78,de
79,pluie
80,venues
81,de
82,pays
83,où
84,il
85,ne
86,pleut
87,pas
88,je
89,creuserai
90,la
91,terre
92,jusqu'après
93,mort
94,pour
95,couvrir
96,ton
97,corps
98,d'or
99,et
100,de
101,lumière
102,je
103,ferai
104,un
105,domaine
106,où
107,l'amour
108,sera
109,roi
110,où
111,l'amour
112,sera
113,loi
114,où
115,tu
116,seras
117,reine
118,refrain
119,ne
120,me
121,quitte
122,pas
123,ne
124,me
125,quitte
126,pas
127,ne
128,me
129,quitte
130,pas
131,ne
132,me
133,quitte
134,pas
135,couplet
136,ne
137,me
138,quitte
139,pas
140,je
141,t'inventerai
142,des
143,mots
144,insensés
145,que
146,tu
147,comprendras
148,je
149,te
150,parlerai
151,de
152,ces
153,amantslà
154,qui
155,ont
156,vu
157,deux
158,fois
159,leur
160,cœur
161,s'embraser
162,je
163,te
164,raconterai
165,l'histoire
166,de
167,ce
168,roi
169,mort
170,de
171,n'avoir
172,pas
173,pu
174,te
175,rencontrer
176,refrain
177,ne
178,me
179,quitte
180,pas
181,ne
182,me
183,quitte
184,pas
185,ne
186,me
187,quitte
188,pas
189,ne
190,me
191,quitte
192,pas
193,couplet
194,vu
195,souvent
196,rejaillir
197,le
198,feu
199,de
200,l'ancien
201,volcan
202,qu'on
203,croyait
204,trop
205,vieux
206,il
207,est
208,paraîtil
209,des
210,terres
211,brûlées
212,donnant
213,plus
214,de
215,blé
216,qu'un
217,meilleur
218,avril
219,et
220,quand
221,vient
222,le
223,soir
224,pour
225,qu'un
226,ciel
227,flamboie
228,le
229,rouge
230,et
231,le
232,noir
233,ne
234,s'épousentils
235,pas
236,refrain
237,ne
238,me
239,quitte
240,pas
241,ne
242,me
243,quitte
244,pas
245,ne
246,me
247,quitte
248,pas
249,ne
250,me
251,quitte
252,pas
253,couplet
254,ne
255,me
256,quitte
257,pas
258,je
259,ne
260,vais
261,plus
262,pleurer
263,je
264,ne
265,vais
266,plus
267,parler
268,je
269,me
270,cacherai
271,là
272,te
273,regarder
274,danser
275,et
276,sourire
277,et
278,à
279,t'écouter
280,chanter
281,et
282,puis
283,rire
284,laissemoi
285,devenir
286,l'ombre
287,de
288,ton
289,ombre
290,l'ombre
291,de
292,ta
293,main
294,l'ombre
295,de
296,ton
297,chien
298,refrain
299,ne
300,me
301,quitte
302,pas
303,ne
304,me
305,quitte
306,pas
307,ne
308,me
309,quitte
310,pas
311,ne
312,me
313,quitte
314,pas
