,Beautiful Freak_Eels
0,beautiful
1,freak
2,wish
3,like
4,like
5,others
6,love
7,beautiful
8,freak
9,beautiful
10,freak
11,love
12,beautiful
13,freak
14,beautiful
15,freak
16,people
17,think
18,problem
19,problem
20,lies
21,cause
22,like
23,others
24,love
25,beautiful
26,freak
27,beautiful
28,freak
29,yeah
30,love
31,beautiful
32,freak
33,beautiful
34,freak
35,bridge
36,good
37,world
38,hope
39,stay
40,i'll
41,see
42,fade
43,away
44,beautiful
45,freak
46,bet
47,flying
48,inside
49,dart
50,go
51,cover
52,know
53,love
54,beautiful
55,freak
56,beautiful
57,freak
58,know
59,love
60,beautiful
61,freak
62,beautiful
63,freak
64,outro
65,beautiful
66,freak
67,beautiful
68,freak
69,beautiful
70,freak
71,beautiful
72,freak
