,Sweet Surrender_Sarah McLachlan
0,mean
1,much
2,mean
3,anything
4,life
5,i've
6,left
7,behind
8,me
9,cold
10,room
11,i've
12,crossed
13,last
14,line
15,i
16,can't
17,return
18,every
19,step
20,i
21,took
22,faith
23,betrayed
24,me
25,led
26,me
27,my
28,home
29,sweet
30,surrender
31,i
32,give
33,take
34,me
35,questions
36,asked
37,you
38,strip
39,away
40,ugliness
41,surrounds
42,me
43,you
44,you
45,angel
46,i
47,already
48,gone
49,i
50,hope
51,i
52,disappoint
53,you
54,i'm
55,my
56,knees
57,you
58,sweet
59,surrender
60,i
61,give
62,you
63,sweet
64,surrender
65,surrender
66,i
67,give
68,i
69,understand
70,touch
71,your
72,hand
73,i
74,would
75,one
76,fall
77,i
78,miss
79,little
80,things
81,i
82,miss
83,everything
84,you
85,mean
86,much
87,mean
88,anything
89,life
90,i
91,left
92,behind
93,me
94,cold
95,room
96,you
97,sweet
98,surrender
99,surrender
100,i
101,give
102,you
103,sweet
104,surrender
105,surrender
106,i
107,give
