,She'll Come Back To Me_Cake
0,last
1,night
2,i
3,said
4,her
5,i
6,want
7,live
8,inside
9,lie
10,she
11,wants
12,him
13,she
14,wants
15,me
16,let
17,she'll
18,come
19,back
20,me
21,she'll
22,come
23,back
24,me
25,she'll
26,come
27,back
28,day
29,i
30,wait
31,wait
32,hear
33,her
34,footsteps
35,my
36,walkway
37,she
38,never
39,came
40,she
41,never
42,even
43,called
44,she'll
45,come
46,back
47,me
48,she'll
49,come
50,back
51,me
52,she'll
53,come
54,back
55,somehow
56,i
57,know
58,last
59,somehow
60,i
61,know
62,last
63,long
64,she'll
65,come
66,back
67,me
68,she'll
69,come
70,back
71,me
72,she'll
73,come
74,back
75,me
76,she'll
77,come
78,back
79,me
