,Dear Future Husband_Meghan Trainor
0,dear
1,future
2,husband
3,here's
4,things
5,you'll
6,need
7,know
8,you
9,wanna
10,my
11,one
12,my
13,life
14,take
15,me
16,date
17,i
18,deserve
19,babe
20,forget
21,flowers
22,every
23,anniversary
24,'cause
25,you'll
26,treat
27,me
28,right
29,i'll
30,perfect
31,wife
32,buying
33,groceries
34,buybuying
35,you
36,need
37,you
38,got
39,baby
40,i
41,thinkin'
42,i'll
43,home
44,baking
45,apple
46,pies
47,i
48,never
49,learned
50,cook
51,i
52,write
53,sing
54,along
55,me
56,sing
57,sing
58,along
59,me
60,hey
61,prechorus
62,you've
63,gotta
64,know
65,treat
66,me
67,like
68,lady
69,even
70,i'm
71,actin'
72,crazy
73,tell
74,me
75,everything's
76,alright
77,dear
78,future
79,husband
80,here's
81,things
82,you'll
83,need
84,know
85,you
86,wanna
87,my
88,one
89,my
90,life
91,dear
92,future
93,husband
94,you
95,wanna
96,get
97,special
98,loving
99,tell
100,me
101,i'm
102,beautiful
103,every
104,night
105,woo
106,every
107,fight
108,apologize
109,maybe
110,i'll
111,let
112,you
113,try
114,rock
115,my
116,body
117,right
118,even
119,i
120,wrong
121,you
122,know
123,i'm
124,never
125,wrong
126,disagree
127,disagree
128,prechorus
129,you've
130,gotta
131,know
132,treat
133,me
134,like
135,lady
136,even
137,i'm
138,actin'
139,crazy
140,tell
141,me
142,everything's
143,alright
144,alright
145,dear
146,future
147,husband
148,here's
149,things
150,you'll
151,need
152,know
153,you
154,wanna
155,my
156,one
157,my
158,life
159,hey
160,baby
161,hey
162,dear
163,future
164,husband
165,make
166,time
167,me
168,leave
169,me
170,lonely
171,we'll
172,never
173,see
174,your
175,family
176,mine
177,i'll
178,sleeping
179,left
180,side
181,bed
182,hey
183,open
184,doors
185,me
186,you
187,might
188,get
189,kisses
190,dirty
191,mind
192,classy
193,guy
194,buy
195,me
196,ring
197,buy
198,buy
199,me
200,ring
201,babe
202,prechorus
203,you've
204,gotta
205,know
206,treat
207,me
208,like
209,lady
210,even
211,i'm
212,actin'
213,crazy
214,tell
215,me
216,everything's
217,alright
218,woo
219,dear
220,future
221,husband
222,here's
223,things
224,you'll
225,need
226,know
227,you
228,wanna
229,my
230,one
231,my
232,life
233,dear
234,future
235,husband
236,you
237,wanna
238,get
239,special
240,lovin'
241,tell
242,me
243,i'm
244,beautiful
245,every
246,night
247,that's
248,right
249,oh
250,whoa
251,future
252,husband
253,better
254,love
255,me
256,right
