,Halcyon_Ellie Goulding
0,i
1,know
2,baby
3,i
4,worked
5,sure
6,going
7,colder
8,you've
9,forced
10,open
11,door
12,i
13,know
14,you
15,better
16,i
17,ever
18,i
19,know
20,you
21,i
22,know
23,you're
24,fighter
25,you
26,never
27,fought
28,me
29,i
30,shelter
31,you're
32,heading
33,home
34,me
35,could
36,closer
37,could
38,closer
39,could
40,prechorus
41,us
42,you
43,show
44,me
45,feels
46,like
47,lonely
48,you
49,show
50,me
51,feels
52,like
53,lost
54,i
55,take
56,your
57,hand
58,you
59,let
60,go
61,let
62,go
63,let
64,go
65,let
66,go
67,prechorus
68,us
69,you
70,show
71,me
72,feels
73,like
74,lonely
75,you
76,show
77,me
78,feels
79,like
80,lost
81,i
82,take
83,your
84,hand
85,you
86,let
87,go
88,let
89,go
90,let
91,go
92,let
93,go
94,going
95,gonna
96,better
97,going
98,better
99,gonna
100,better
101,going
102,better
103,going
104,better
105,going
106,better
107,going
108,going
109,better
110,going
111,better
112,we'll
113,take
114,long
115,walk
116,alleys
117,houses
118,we'll
119,talk
120,see
121,conversation
122,rouses
123,we're
124,alone
125,we're
126,alone
127,could
128,home
129,prechorus
130,us
131,you
132,show
133,me
134,feels
135,like
136,lonely
137,you
138,show
139,me
140,feels
141,like
142,lost
143,i
144,take
145,your
146,hand
147,you
148,let
149,go
150,let
151,go
152,let
153,go
154,let
155,go
156,going
157,gonna
158,better
159,going
160,better
161,gonna
162,better
163,going
164,better
165,going
166,better
167,going
168,better
169,going
170,going
171,better
172,going
173,better
