,I Know You Care_Ellie Goulding
0,clinging
1,me
2,like
3,last
4,breath
5,you
6,would
7,breathe
8,you
9,like
10,home
11,me
12,i
13,recognize
14,street
15,please
16,close
17,your
18,eyes
19,know
20,look
21,without
22,outside
23,cars
24,speed
25,i'd
26,never
27,heard
28,i
29,know
30,you
31,care
32,i
33,know
34,always
35,there's
36,trouble
37,ahead
38,i
39,feel
40,you
41,saving
42,yourself
43,you
44,hide
45,yeah
46,i
47,know
48,you
49,care
50,i
51,see
52,way
53,you
54,stare
55,trouble
56,ahead
57,you
58,knew
59,i'll
60,saving
61,myself
62,ruin
63,i
64,know
65,you
66,care
67,i
68,used
69,run
70,stairs
71,door
72,i
73,thought
74,you
75,you
76,shape
77,comfort
78,us
79,two
80,lovers
81,locked
82,love
83,oh
84,i
85,know
86,you
87,care
88,i
89,know
90,always
91,there's
92,trouble
93,ahead
94,i
95,feel
96,you
97,saving
98,yourself
99,you
100,hide
101,yeah
102,i
103,know
104,you
105,care
106,i
107,see
108,way
109,you
110,stare
111,trouble
112,ahead
113,you
114,knew
115,i'll
116,saving
117,myself
118,ruin
119,i
120,know
121,always
122,wrong
123,i've
124,never
125,known
126,winter
127,cold
128,i
129,warm
130,my
131,hands
132,your
133,coat
134,i
135,still
136,hope
137,'cause
138,things
139,ought
140,i
141,know
142,worst
143,seemed
144,can't
145,i
146,dream
147,can't
148,i
149,dream
150,i
151,know
152,you
153,care
154,i
155,know
156,you
157,care
158,i
159,know
160,you
161,care
162,i
163,know
164,you
165,care
166,i
167,know
168,always
