,She_Elvis Costello
0,she
1,may
2,face
3,i
4,can't
5,forget
6,trace
7,pleasure
8,regret
9,may
10,my
11,treasure
12,price
13,i
14,pay
15,she
16,may
17,song
18,summer
19,sings
20,may
21,chill
22,autumn
23,brings
24,may
25,hundred
26,different
27,things
28,within
29,measure
30,day
31,she
32,may
33,beauty
34,beast
35,may
36,famine
37,feast
38,may
39,turn
40,day
41,heaven
42,hell
43,she
44,may
45,mirror
46,my
47,dreams
48,smile
49,reflected
50,stream
51,she
52,may
53,she
54,may
55,seem
56,inside
57,her
58,shell
59,instrumental
60,she
61,always
62,seems
63,happy
64,crowd
65,whose
66,eyes
67,private
68,proud
69,one's
70,allowed
71,see
72,cry
73,she
74,may
75,love
76,cannot
77,hope
78,last
79,may
80,come
81,me
82,shadows
83,past
84,i'll
85,remember
86,till
87,day
88,i
89,die
90,she
91,may
92,reason
93,i
94,survive
95,wherefore
96,i'm
97,alive
98,one
99,i'll
100,care
101,rough
102,ready
103,years
104,me
105,i'll
106,take
107,her
108,laughter
109,her
110,tears
111,make
112,my
113,souvenirs
114,she
115,goes
116,i've
117,got
118,meaning
119,my
120,life
121,she
122,she
123,oh
124,she
