,Lost On You_LP
0,you
1,get
2,older
3,plainer
4,saner
5,you
6,remember
7,danger
8,came
9,burning
10,like
11,embers
12,falling
13,tender
14,long
15,days
16,surrender
17,years
18,ago
19,well
20,you
21,know
22,prechorus
23,smoke
24,'em
25,you
26,got
27,'em
28,cause
29,going
30,i
31,ever
32,wanted
33,you
34,i'll
35,never
36,get
37,heaven
38,cause
39,i
40,know
41,let's
42,raise
43,glass
44,two
45,things
46,i've
47,lost
48,you
49,tell
50,me
51,lost
52,you
53,you
54,could
55,cut
56,me
57,loose
58,everything
59,i've
60,lost
61,you
62,lost
63,you
64,lost
65,you
66,baby
67,lost
68,you
69,lost
70,you
71,wish
72,i
73,could
74,see
75,machinations
76,understand
77,toil
78,expectations
79,your
80,mind
81,hold
82,me
83,like
84,you
85,never
86,lost
87,your
88,patience
89,tell
90,me
91,you
92,love
93,me
94,hate
95,me
96,time
97,you're
98,still
99,mine
100,prechorus
101,smoke
102,'em
103,you
104,got
105,'em
106,cause
107,going
108,i
109,ever
110,wanted
111,you
112,let's
113,take
114,drink
115,heaven
116,turn
117,around
118,let's
119,raise
120,glass
121,two
122,things
123,i've
124,lost
125,you
126,tell
127,me
128,lost
129,you
130,you
131,could
132,cut
133,me
134,loose
135,everything
136,i've
137,lost
138,you
139,lost
140,you
141,lost
142,you
143,baby
144,lost
145,you
146,lost
147,you
148,lost
149,you
150,lost
151,you
152,let's
153,raise
154,glass
155,two
156,things
157,i've
158,lost
159,you
160,tell
161,me
162,lost
163,you
164,you
165,could
166,cut
167,me
168,loose
169,everything
170,i've
171,lost
172,you
173,lost
174,you
175,lost
176,you
