,Say You Love Me_Jessie Ware
0,say
1,love
2,face
3,need
4,embrace
5,say
6,want
7,that's
8,takes
9,heart's
10,gettin'
11,torn
12,mistakes
13,'cause
14,wanna
15,fall
16,love
17,wanna
18,try
19,i've
20,thinking
21,maybe
22,might
23,baby
24,looks
25,though
26,we're
27,running
28,words
29,say
30,love's
31,floatin'
32,away
33,say
34,love
35,today
36,give
37,time
38,cause
39,that's
40,want
41,feel
42,burning
43,flames
44,say
45,name
46,want
47,feel
48,passion
49,flow
50,bones
51,like
52,blood
53,veins
54,'cause
55,wanna
56,fall
57,love
58,wanna
59,try
60,i've
61,thinking
62,maybe
63,might
64,baby
65,looks
66,though
67,we're
68,running
69,words
70,say
71,love's
72,floatin'
73,away
74,bridge
75,stay
76,stay
77,slowly
78,slowly
79,unfold
80,know
81,someone
82,told
83,love
84,controls
85,everything
86,know
87,bridge
88,jessie
89,ware
90,&
91,ed
92,sheeran
93,'cause
94,wanna
95,fall
96,love
97,no-no-no-no
98,wanna
99,try
100,try
101,sometimes
102,i've
103,thinking
104,think
105,maybe
106,might
107,might
108,'cause
109,wanna
110,fall
111,love
112,wanna
113,try
114,i've
115,thinking
116,maybe
117,might
118,baby
119,looks
120,though
121,we're
122,running
123,words
124,say
125,love's
126,floatin'
127,away
128,outro
129,stay
130,stay
