,Brown Skin Lady_Black Star
0,sample
1,chameleon
2,street
3,smooth
4,got
5,good
6,hair
7,william
8,douglas
9,street
10,like
11,smooth
12,like
13,girls
14,light
15,complexion
16,street
17,moron
18,smooth
19,can't
20,help
21,street
22,moron
23,smooth
24,yeah
25,street
26,first
27,one
28,dashiki
29,talking
30,crap
31,smooth
32,i'm
33,victim
34,-
35,street
36,"""good"
37,"hair"""
38,nigga
39,brainwashed
40,smooth
41,i'm
42,victim
43,brother
44,street
45,'victim'
46,smooth
47,i'm
48,victim
49,400
50,years
51,conditioning
52,street
53,shut
54,smooth
55,man
56,programmed
57,conditioning
58,street
59,mhm
60,smooth
61,even
62,conditioning
63,conditioned
64,talib
65,kweli
66,&
67,mos
68,def
69,yall
70,brothers
71,came
72,mothers
73,looking
74,sweet
75,black
76,star
77,keep
78,shining
79,like
80,yo
81,let
82,ask
83,somethin
84,wanna
85,know
86,wanna
87,know
88,mos
89,def
90,&
91,talib
92,kweli
93,brown
94,skin
95,lady
96,hey
97,hey
98,yes
99,goin'
100,goes
101,brown
102,skin
103,ladies
104,yo
105,brown
106,skin
107,lady
108,indigenous
109,women
110,planet
111,earth
112,doin
113,givin'
114,birth
115,brown
116,skin
117,ladies
118,first
119,brown
120,skin
121,lady
122,worth
123,feel
124,watchin'
125,bridge
126,mos
127,def
128,&
129,talib
130,kweli
131,like
132,way
133,walk
134,walk
135,like
136,like
137,like
138,like
139,way
140,walk
141,like
142,way
143,move
144,dance
145,yes
146,like
147,way
148,move
149,like
150,way
151,walk
152,walk
153,like
154,like
155,like
156,like
157,way
158,walk
159,like
160,way
161,move
162,dance
163,please
164,dance
165,mos
166,def
167,&
168,talib
169,kweli
170,everybody
171,avenue
172,know
173,see
174,say
175,everybody
176,avenue
177,know
178,see
179,say
180,talib
181,kweli
182,fresher
183,tony
184,rebel's
185,vegetables
186,african
187,street
188,festivals
189,incredible
190,women
191,plentiful
192,years
193,met
194,none
195,compare
196,preparing
197,make
198,fruit
199,bearable
200,somethin
201,terrible
202,let's
203,see
204,fruitful
205,beautiful
206,smart
207,lovable
208,huggable
209,doable
210,like
211,art
212,suitable
213,part
214,life
215,coppertone
216,owe
217,copyright
218,infringement
219,pay
220,tan
221,since
222,way
223,back
224,day
225,like
226,i'm
227,standin
228,know
229,appreciatin
230,god's
231,design
232,showed
233,like
234,read
235,mind
236,damn
237,fine
238,think
239,add
240,r-e
241,front
242,see
243,get
244,cat
245,like
246,bridge
247,mos
248,def
249,&
250,talib
251,kweli
252,like
253,way
254,walk
255,walk
256,like
257,like
258,like
259,like
260,way
261,walk
262,like
263,way
264,move
265,dance
266,yes
267,like
268,way
269,move
270,like
271,way
272,walk
273,walk
274,like
275,like
276,like
277,like
278,way
279,walk
280,like
281,way
282,move
283,dance
284,please
285,dance
286,refrain
287,mos
288,def
289,everybody
290,avenue
291,know
292,see
293,say
294,everybody
295,avenue
296,know
297,see
298,say
299,mos
300,def
301,ooooh
302,damn
303,baby
304,girl
305,look
306,comin
307,block
308,lookin
309,fresh
310,brand
311,new
312,ooooh
313,headwrap
314,cover
315,hairdo
316,pretty
317,feet
318,peekin
319,open-toed
320,shoe
321,ooooh
322,limit
323,would
324,make
325,love
326,like
327,long
328,interview
329,whooh
330,real
331,like
332,good
333,look
334,champion
335,win
336,title
337,true
338,many
339,man
340,try
341,invite
342,shot
343,lyric
344,time
345,cyph'
346,jewel
347,man
