,Me and Mrs. Jones_Billy Paul
0,me
1,mrs
2,jones
3,got
4,thing
5,going
6,know
7,wrong
8,much
9,strong
10,let
11,go
12,meet
13,every
14,day
15,cafe
16,—
17,630
18,i
19,know
20,i
21,know
22,she'll
23,holding
24,hands
25,making
26,kinds
27,plans
28,jukebox
29,plays
30,favorite
31,song
32,me
33,mrs
34,mrs
35,jones
36,mrs
37,jones
38,mrs
39,jones
40,mrs
41,jones
42,got
43,thing
44,going
45,know
46,wrong
47,much
48,strong
49,let
50,go
51,gotta
52,extra
53,careful
54,build
55,hopes
56,high
57,cause
58,got
59,her
60,obligations
61,i
62,me
63,mrs
64,mrs
65,jones
66,mrs
67,jones
68,mrs
69,jones
70,mrs
71,jones
72,got
73,thing
74,going
75,know
76,wrong
77,much
78,strong
79,let
80,go
81,well
82,time
83,us
84,leaving
85,hurts
86,much
87,hurts
88,much
89,inside
90,she'll
91,go
92,her
93,way
94,i'll
95,go
96,mine
97,tomorrow
98,we'll
99,meet
100,place
101,time
102,me
103,mrs
104,mrs
105,jones
106,mrs
107,jones
108,mrs
109,jones
110,mrs
111,jones
112,got
113,thing
114,going
115,gotta
116,extra
117,careful
118,can't
119,afford
120,build
121,hopes
122,high
123,i
124,wanna
125,meet
126,talk
127,you
128,place
129,cafe
130,time
131,we're
132,gonna
133,hold
134,hands
135,like
136,used
137,gonna
138,talk
139,talk
140,know
141,know
142,you
143,know
144,i
145,know
146,wrong
147,i'm
148,thinking
149,strong
150,gotta
151,let
152,'em
153,know
154,got
155,thing
156,going
157,thing
158,going
