,Let Love Rule_Lenny Kravitz
0,-lenny
1,kravitz
2,love
3,gentle
4,rose
5,love
6,conquer
7,war
8,time
9,take
10,stand
11,brothers
12,sisters
13,join
14,hands
15,-lenny
16,kravitz
17,got
18,let
19,love
20,rule
21,let
22,love
23,rule
24,got
25,let
26,love
27,rule
28,let
29,love
30,rule
31,-lenny
32,kravitz
33,love
34,transcends
35,space
36,time
37,love
38,make
39,little
40,child
41,smile
42,oh
43,can't
44,see
45,go
46,wrong
47,got
48,strong
49,can't
50,alone
51,-lenny
52,kravitz
53,got
54,let
55,love
56,rule
57,let
58,love
59,rule
60,got
61,let
62,love
63,rule
64,let
65,love
66,rule
67,outro
68,-lenny
69,kravitz
70,let
71,love
72,rule
73,got
74,got
75,got
76,let
77,love
78,rule
79,got
80,got
81,got
82,yeah
83,let
84,let
85,let
86,let
87,love
88,rule
89,let
90,love
91,rule
92,let
93,love
94,rule
95,got
96,got
97,got
98,use
99,yeah
100,got
101,yeah
102,wee
103,got
104,got
105,got
106,got
107,yeah
108,yeah
109,yeah
110,yeah
111,yeah
112,yeah
113,yeah
114,let
115,love
116,rule
