,Rhythm of Love_Plain White T's
0,head
1,stuck
2,clouds
3,begs
4,come
5,says
6,"""boy"
7,quit
8,foolin'
9,"around"""
10,told
11,"""i"
12,love
13,view
14,warm
15,sun
16,wind
17,ear
18,we'll
19,watch
20,world
21,turns
22,rhythm
23,"love"""
24,may
25,tonight
26,'til
27,morning
28,sun
29,mine
30,mine
31,play
32,music
33,low
34,sway
35,rhythm
36,love
37,heart
38,beats
39,like
40,drum
41,guitar
42,string
43,strum
44,beautiful
45,song
46,sung
47,got
48,blue
49,eyes
50,deep
51,like
52,sea
53,roll
54,back
55,laughing
56,rises
57,like
58,tide
59,moment
60,lips
61,meet
62,mine
63,may
64,tonight
65,'til
66,morning
67,sun
68,mine
69,mine
70,play
71,music
72,low
73,sway
74,rhythm
75,love
76,bridge
77,moon
78,low
79,dance
80,slow
81,motion
82,tears
83,subside
84,tears
85,dry
86,bop
87,ba
88,bop
89,ba
90,bop
91,ba
92,bop
93,ba
94,bop
95,ba
96,bop
97,ba
98,da
99,da
100,da
101,dum
102,da
103,da
104,dum
105,bop
106,ba
107,bop
108,ba
109,bop
110,ba
111,bop
112,ba
113,bop
114,ba
115,bop
116,ba
117,da
118,da
119,da
120,dum
121,da
122,da
123,dum
124,long
125,i've
126,gone
127,still
128,humming
129,along
130,keep
131,mind
132,way
133,make
134,love
135,fine
136,may
137,tonight
138,'til
139,morning
140,sun
141,mine
142,mine
143,play
144,music
145,low
146,sway
147,rhythm
148,love
149,oh
150,play
151,music
152,low
153,sway
154,rhythm
155,love
156,yeah
157,sway
158,rhythm
159,love
