,All by Myself_Eric Carmen
0,young
1,never
2,needed
3,anyone
4,making
5,love
6,fun
7,days
8,gone
9,living
10,alone
11,think
12,friends
13,i've
14,known
15,dial
16,telephone
17,nobody's
18,home
19,want
20,anymore
21,want
22,live
23,anymore
24,hard
25,sure
26,sometimes
27,feel
28,insecure
29,love
30,distant
31,obscure
32,remains
33,cure
34,want
35,anymore
36,want
37,live
38,anymore
39,young
40,never
41,needed
42,anyone
43,making
44,love
45,fun
46,days
47,gone
48,want
49,anymore
50,want
51,live
52,anymore
53,want
54,anymore
55,want
56,live
57,anymore
58,want
59,anymore
