,Need You Now_Lady Antebellum
0,hillary
1,scott
2,&
3,charles
4,kelley
5,"""hey"
6,sorry
7,missed
8,call
9,leave
10,message
11,"beep"""
12,"""hey"
13,yeah
14,thinking
15,everything
16,night
17,know
18,miss
19,much
20,call
21,"back"""
22,hillary
23,scott
24,picture
25,perfect
26,memories
27,scattered
28,around
29,floor
30,reachin'
31,phone
32,'cause
33,can't
34,fight
35,anymore
36,pre-chorus
37,hillary
38,scott
39,&
40,charles
41,kelley
42,wonder
43,ever
44,cross
45,mind
46,happens
47,time
48,lady
49,antebellum
50,quarter
51,one
52,i'm
53,alone
54,need
55,said
56,call
57,i've
58,lost
59,control
60,need
61,know
62,without
63,need
64,charles
65,kelley
66,another
67,shot
68,whiskey
69,can't
70,stop
71,lookin'
72,door
73,wishing
74,come
75,sweeping
76,way
77,pre-chorus
78,lady
79,antebellum
80,&
81,charles
82,kelley
83,wonder
84,ever
85,cross
86,mind
87,happens
88,time
89,lady
90,antebellum
91,quarter
92,one
93,i'm
94,little
95,drunk
96,need
97,said
98,call
99,i've
100,lost
101,control
102,need
103,know
104,without
105,need
106,whoa
107,oh
108,bridge
109,hillary
110,scott
111,&
112,charles
113,kelley
114,guess
115,i'd
116,rather
117,hurt
118,feel
119,nothin'
120,hillary
121,scott
122,&
123,charles
124,kelley
125,&
126,lady
127,antebellum
128,quarter
129,one
130,i'm
131,alone
132,need
133,said
134,call
135,i'm
136,little
137,drunk
138,need
139,know
140,without
141,need
142,outro
143,lady
144,antebellum
145,&
146,hillary
147,scott
148,need
149,oh
150,baby
151,need
