,For Me This Is Heaven_Jimmy Eat World
0,first
1,star
2,see
3,may
4,star
5,can't
6,thing
7,wait
8,let's
9,wait
10,one
11,time
12,clumsy
13,time
14,deciding
15,time
16,i'm
17,careful
18,sure
19,goes
20,lose
21,courage
22,time
23,ends
24,big
25,hand
26,goes
27,round
28,still
29,feel
30,butterflies
31,still
32,hear
33,last
34,goodnight
35,mindless
36,comfort
37,grows
38,i'm
39,alone
40,great
41,plans
42,said
43,gets
44,let
45,happy
46,time
47,ends
48,big
49,hand
50,goes
51,round
52,still
53,feel
54,butterflies
55,still
56,hear
57,last
58,goodnight
59,close
60,eyes
61,believe
62,wherever
63,angel
64,time
65,ends
66,big
67,hand
68,goes
69,round
70,still
71,feel
72,butterflies
73,still
74,hear
75,last
76,goodnight
