,Arms_Christina Perri
0,never
1,thought
2,would
3,one
4,hold
5,heart
6,came
7,around
8,knocked
9,ground
10,start
11,put
12,arms
13,around
14,believe
15,easier
16,let
17,go
18,put
19,arms
20,around
21,i'm
22,home
23,many
24,times
25,let
26,change
27,mind
28,turn
29,around
30,can't
31,decide
32,i'll
33,let
34,save
35,life
36,i'll
37,drown
38,hope
39,see
40,right
41,walls
42,hope
43,catch
44,cause
45,i'm
46,already
47,falling
48,i'll
49,never
50,let
51,love
52,get
53,close
54,put
55,arms
56,around
57,i'm
58,home
59,world
60,coming
61,can't
62,find
63,reason
64,loved
65,never
66,wanna
67,leave
68,can't
69,make
70,bleed
71,i'm
72,alone
73,put
74,arms
75,around
76,believe
77,easier
78,let
79,go
80,hope
81,see
82,right
83,walls
84,hope
85,catch
86,cause
87,i'm
88,already
89,falling
90,i'll
91,never
92,let
93,love
94,get
95,close
96,put
97,arms
98,around
99,i'm
100,home
101,tried
102,best
103,never
104,let
105,see
106,truth
107,i've
108,never
109,opened
110,i've
111,never
112,truly
113,loved
114,'til
115,put
116,arms
117,around
118,believe
119,easier
120,let
121,go
122,hope
123,see
124,right
125,walls
126,hope
127,catch
128,cause
129,i'm
130,already
131,falling
132,i'll
133,never
134,let
135,love
136,get
137,close
138,put
139,arms
140,around
141,i'm
142,home
