,Nightmusic (feat. Majical Cloudz)_Grimes
0,she'd
1,she'd
2,sun
3,love
4,could
5,always
6,may
7,come
8,go
9,wanna
10,say
11,oh
12,guys
13,wanna
14,say
15,anything
16,front
17,love
18,wanna
19,say
20,oh
21,guys
22,wanna
23,say
24,everything
25,wanna
26,say
27,wanna
28,say
29,wanna
30,say
31,she'd
32,she'd
33,sun
34,love
35,could
36,always
37,may
38,come
39,go
40,night
41,oh
42,refrain
43,i’ve
44,run
45,snow
46,you’ve
47,liking
48,anywhere
49,go
50,reversed
51,tonight's
52,night
53,i’m
54,waiting
55,tonight's
56,night
57,i’m
58,left
59,sitting
60,storms
61,come
62,water
63,meant
64,carry
65,never
66,knowing
67,we’re
68,going
69,around
70,world
71,interlude
72,tonight’s
73,night
74,waited
75,'til
76,end
77,tonight’s
78,night
79,say
80,it’s
81,fair
82,it’s
83,underwater
84,got
85,would
86,never
87,let
88,go
89,oh
90,woahoh
91,tonight’s
92,night
93,waited
94,'til
95,end
96,tonight’s
97,night
98,say
99,it’s
100,fair
101,it’s
102,underwater
103,got
104,would
105,never
106,let
107,go
108,oh
109,woahoh
110,she'd
111,she'd
112,sun
113,love
114,could
115,always
116,may
117,come
118,go
119,wanna
120,say
121,oh
122,guys
123,wanna
124,say
125,anything
126,front
127,love
128,wanna
129,say
130,oh
131,guys
132,wanna
133,say
134,everything
135,wanna
136,say
137,wanna
138,say
139,wanna
140,say
141,she'd
142,she'd
143,sun
144,love
145,could
146,always
147,may
148,come
149,go
150,night
151,oh
152,sleep
153,day
154,dance
155,night
156,sleep
157,day
158,dance
159,night
160,sleep
161,day
162,dance
163,night
164,sleep
165,day
166,dance
167,night
