,You & I_One Direction
0,niall
1,liam
2,figured
3,figured
4,black
5,white
6,seconds
7,hours
8,maybe
9,take
10,time
11,know
12,goes
13,know
14,goes
15,wrong
16,right
17,silence
18,sound
19,ever
20,hold
21,tight
22,like
23,us
24,ever
25,fight
26,like
27,us
28,harry
29,wanna
30,like
31,make
32,'til
33,end
34,nothing
35,come
36,even
37,gods
38,separate
39,two
40,us
41,nothing
42,come
43,oh
44,zayn
45,niall
46,liam
47,louis
48,niall
49,liam
50,figured
51,saw
52,mistakes
53,meet
54,middle
55,there's
56,always
57,room
58,common
59,ground
60,see
61,like
62,see
63,like
64,day
65,night
66,never
67,together
68,'cause
69,see
70,things
71,different
72,light
73,like
74,us
75,never
76,tried
77,like
78,us
79,harry
80,zayn
81,wanna
82,like
83,make
84,'til
85,end
86,nothing
87,come
88,even
89,gods
90,separate
91,two
92,us
93,two
94,us
95,two
96,us
97,two
98,us
99,two
100,us
101,'cause
102,wanna
103,like
104,make
105,'til
106,end
107,end
108,nothing
109,come
110,nothing
111,come
112,even
113,gods
114,separate
115,two
116,us
117,two
118,us
119,nothing
120,come
121,oh
122,oh
123,could
124,make
125,try
126,oh
