,Your Eyes_Bombay Bicycle Club
0,nod
1,head
2,dumb
3,love
4,there's
5,something
6,else
7,i'm
8,dreaming
9,shut
10,eyes
11,pretend
12,keep
13,unaware
14,would
15,promise
16,could
17,think
18,afterward
19,humour
20,think
21,ever
22,asked
23,prechorus
24,coming
25,back
26,coming
27,back
28,coming
29,back
30,coming
31,back
32,come
33,say
34,word
35,quick
36,tables
37,turned
38,hate
39,there's
40,space
41,fill
42,always
43,always
44,i'm
45,fingers
46,snap
47,left
48,see
49,love
50,trapped
51,coming
52,back
53,along
54,barren
55,streets
56,slide
57,poke
58,dirt
59,find
60,magnify
61,us
62,see
63,dig
64,desperately
65,would
66,promise
67,could
68,think
69,afterward
70,humour
71,think
72,ever
73,asked
74,prechorus
75,coming
76,back
77,coming
78,back
79,coming
80,back
81,coming
82,back
83,come
84,say
85,word
86,quick
87,tables
88,turned
89,hate
90,there's
91,space
92,fill
93,always
94,always
95,i'm
96,fingers
97,snap
98,left
99,see
100,love
101,trapped
102,coming
103,back
104,eyes
105,eyes
106,eyes
107,eyes
108,eyes
109,eyes
110,eyes
111,eyes
112,eyes
113,eyes
114,eyes
