,I Don't Believe in the Sun_The Magnetic Fields
0,say
1,there's
2,sun
3,sky
4,can't
5,imagine
6,might
7,one
8,gone
9,see
10,night
11,believe
12,sun
13,could
14,shine
15,everyone
16,never
17,shine
18,could
19,cruelty
20,sun
21,ever
22,knew
23,beautiful
24,one
25,since
26,went
27,away
28,nighttime
29,day
30,usually
31,raining
32,too…
33,believe
34,sun
35,could
36,shine
37,everyone
38,never
39,shine
40,could
41,cruelty
42,stars
43,really
44,shining
45,eyes
46,sun
47,except
48,one
49,never
50,shone
51,guys
52,moon
53,poets
54,croon
55,given
56,died
57,astronomy
58,revised…
59,believe
60,sun
61,could
62,shine
63,everyone
64,never
65,shine
66,could
67,cruelty
