,Jealous_Beyoncé
0,i'm
1,penthouse
2,halfnaked
3,cooked
4,meal
5,naked
6,hell
7,one
8,shot
9,left
10,drink
11,glass
12,make
13,break
14,wish
15,could
16,feel
17,feeling
18,never
19,broke
20,one
21,promise
22,know
23,honest
24,got
25,yelling
26,that's
27,i'm
28,jealous
29,keeping
30,promise
31,i'm
32,keeping
33,mine
34,oh
35,i'm
36,jealous
37,keeping
38,promise
39,i'm
40,keeping
41,mine
42,oh
43,i'm
44,jealous
45,postchorus
46,sometimes
47,wanna
48,walk
49,shoes
50,type
51,things
52,never
53,ever
54,take
55,one
56,look
57,mirror
58,say
59,baby
60,girl
61,can't
62,survive
63,like
64,take
65,one
66,step
67,freakum
68,dress
69,closet
70,yoncé
71,fillin'
72,skirt
73,look
74,damn
75,good
76,ain't
77,lost
78,ain't
79,missed
80,beat
81,boy
82,hanging
83,night
84,tonight
85,i'm
86,staying
87,'til
88,tomorrow
89,dancing
90,tables
91,ain't
92,got
93,cares
94,sorrow
95,ran
96,ex
97,said
98,besties
99,reminiscing
100,used
101,flex
102,texas
103,jealous
104,keeping
105,promise
106,i'm
107,keeping
108,mine
109,oh
110,i'm
111,jealous
112,keeping
113,promise
114,i'm
115,keeping
116,mine
117,oh
118,i'm
119,jealous
120,postchorus
121,sometimes
122,wanna
123,walk
124,shoes
125,type
126,things
127,never
128,ever
129,take
130,one
131,look
132,mirror
133,say
134,baby
135,girl
136,can't
137,survive
138,like
139,hate
140,lies
141,covers
142,hate
143,us
144,making
145,good
146,love
147,love
148,making
149,jealous
150,judge
151,know
152,i'm
153,hateful
154,ain't
155,nothing
156,ain't
157,nothing
158,i'm
159,jealous
160,i'm
161,human
162,judge
163,keeping
164,promise
165,i'm
166,keeping
167,mine
168,oh
169,i'm
170,jealous
171,keeping
172,promise
173,i'm
174,keeping
175,mine
176,oh
177,i'm
178,jealous
