,Dakota_Stereophonics
0,thinkin'
1,back
2,thinkin'
3,summertime
4,think
5,june
6,yeah
7,think
8,june
9,laying
10,back
11,head
12,grass
13,chewing
14,gum
15,laughs
16,yeah
17,laughs
18,made
19,feel
20,like
21,one
22,made
23,feel
24,like
25,one
26,one
27,made
28,feel
29,like
30,one
31,made
32,feel
33,like
34,one
35,one
36,drinking
37,back
38,drinking
39,two
40,drinking
41,drinking
42,new
43,sleeping
44,back
45,car
46,never
47,went
48,far
49,need
50,go
51,far
52,made
53,feel
54,like
55,one
56,made
57,feel
58,like
59,one
60,one
61,made
62,feel
63,like
64,one
65,made
66,feel
67,like
68,one
69,one
70,know
71,going
72,know
73,going
74,wake
75,call
76,coffee
77,juice
78,rememberin'
79,happened
80,wonder
81,we'll
82,meet
83,talk
84,life
85,since
86,talk
87,end
88,made
89,feel
90,like
91,one
92,made
93,feel
94,like
95,one
96,one
97,made
98,feel
99,like
100,one
101,made
102,feel
103,like
104,one
105,one
106,know
107,going
108,know
109,going
110,take
111,look
112,take
113,look
114,take
115,look
116,take
117,look
118,take
119,look
120,take
121,look
122,take
123,look
124,take
125,look
126,take
127,look
128,take
129,look
130,take
131,look
132,take
133,look
134,take
135,look
136,take
137,look
138,take
139,look
140,take
141,look
142,take
143,look
