,Little Bit_Lykke Li
0,hands
1,i'm
2,proud
3,love
4,eyes
5,shut
6,i'm
7,thinking
8,move
9,b
10,can't
11,cause
12,know
13,eye
14,eye
15,thigh
16,thigh
17,let
18,go
19,think
20,i'm
21,little
22,bit
23,little
24,bit
25,little
26,bit
27,love
28,little
29,bit
30,little
31,bit
32,little
33,bit
34,love
35,keep
36,legs
37,apart
38,forget
39,tainted
40,heart
41,never
42,ever
43,first
44,say
45,still
46,know
47,would
48,push
49,button
50,pull
51,trigger
52,pull
53,mountain
54,jump
55,cliff
56,cause
57,know
58,baby
59,love
60,love
61,little
62,bit
63,would
64,would
65,say
66,would
67,mean
68,could
69,2x
70,think
71,i'm
72,little
73,bit
74,little
75,bit
76,little
77,bit
78,love
79,little
80,bit
81,little
82,bit
83,little
84,bit
85,love
86,come
87,stay
88,stroke
89,hair
90,cause
91,would
92,give
93,anything
94,anything
95,man
96,come
97,stay
98,stroke
99,hair
100,cause
101,would
102,give
103,anything
104,anything
105,man
106,variation
107,little
108,bit
109,little
110,bit
111,little
112,bit
113,love
114,little
115,bit
116,little
117,bit
118,little
119,bit
120,love
121,think
122,i'm
123,little
124,bit
125,little
126,bit
127,little
128,bit
129,love
130,little
131,bit
132,little
133,bit
134,little
135,bit
136,love
137,think
138,i'm
139,little
140,bit
141,little
142,bit
143,little
144,bit
145,love
146,little
147,bit
148,little
149,bit
150,little
151,bit
152,little
153,bit
154,little
155,bit
156,little
157,bit
158,little
159,bit
160,little
161,bit
