,I Will Possess Your Heart_Death Cab for Cutie
0,wish
1,could
2,see
3,potential
4,potential
5,like
6,book
7,elegantly
8,bound
9,language
10,can't
11,read
12,yet
13,gotta
14,spend
15,time
16,love
17,gotta
18,spend
19,time
20,know
21,find
22,love
23,possess
24,heart
25,gotta
26,spend
27,time
28,love
29,gotta
30,spend
31,time
32,know
33,find
34,love
35,possess
36,heart
37,days
38,outside
39,window
40,see
41,reflection
42,slowly
43,pass
44,long
45,mirrored
46,perspective
47,we'll
48,lovers
49,lovers
50,last
51,gotta
52,spend
53,time
54,love
55,gotta
56,spend
57,time
58,know
59,find
60,love
61,possess
62,heart
63,gotta
64,spend
65,time
66,love
67,gotta
68,spend
69,time
70,know
71,find
72,love
73,possess
74,heart
75,postchorus
76,possess
77,heart
78,possess
79,heart
80,reject
81,advances
82,desperate
83,pleas
84,let
85,let
86,easily
87,easily
88,gotta
89,spend
90,time
91,love
92,gotta
93,spend
94,time
95,know
96,find
97,love
98,possess
99,heart
100,gotta
101,spend
102,time
103,love
104,gotta
105,spend
106,time
107,know
108,find
109,love
110,possess
111,heart
112,gotta
113,spend
114,time
115,love
116,gotta
117,spend
118,time
119,know
120,find
121,love
122,possess
123,heart
124,postchorus
125,possess
126,heart
127,possess
128,heart
