,Here Without You_3 Doors Down
0,hundred
1,days
2,made
3,older
4,since
5,last
6,time
7,saw
8,pretty
9,face
10,thousand
11,lies
12,made
13,colder
14,think
15,look
16,miles
17,separate
18,disappear
19,i'm
20,dreaming
21,face
22,i'm
23,without
24,baby
25,still
26,lonely
27,mind
28,think
29,baby
30,dream
31,time
32,i'm
33,without
34,baby
35,still
36,dreams
37,tonight
38,yeah
39,miles
40,keep
41,rolling
42,people
43,leave
44,way
45,say
46,hello
47,i've
48,heard
49,life
50,overrated
51,hope
52,gets
53,better
54,go
55,oh
56,yeah
57,yeah
58,i'm
59,without
60,baby
61,still
62,lonely
63,mind
64,think
65,baby
66,dream
67,time
68,i'm
69,without
70,baby
71,still
72,dreams
73,tonight
74,girl
75,yeah
76,everything
77,know
78,anywhere
79,go
80,gets
81,hard
82,take
83,away
84,love
85,last
86,one
87,falls
88,said
89,done
90,gets
91,hard
92,take
93,away
94,love
95,whoa
96,oh
97,oh
98,instrumental
99,i'm
100,without
101,baby
102,still
103,lonely
104,mind
105,think
106,baby
107,dream
108,time
109,i'm
110,without
111,baby
112,still
113,dreams
114,tonight
115,girl
116,yeah
117,oh
118,yeah
