,Dig_Incubus
0,weakness
1,easy
2,identify
3,look
4,eye
5,ask
6,forgiveness
7,we'll
8,make
9,pact
10,never
11,speak
12,word
13,yes
14,friend
15,prechorus
16,something
17,digs
18,us
19,least
20,dig
21,weakness
22,turns
23,ego
24,know
25,count
26,yesterday
27,turn
28,another
29,dig
30,covering
31,better
32,part
33,sing
34,song
35,remind
36,we'll
37,always
38,everything
39,else
40,gone
41,sickness
42,cleverly
43,attaches
44,multiplies
45,matter
46,try
47,prechorus
48,someone
49,digs
50,us
51,least
52,dig
53,sickness
54,turns
55,ego
56,know
57,act
58,clever
59,medicine
60,turn
61,another
62,dig
63,covering
64,better
65,part
66,sing
67,song
68,remind
69,we'll
70,always
71,everything
72,else
73,gone
74,oh
75,everything
76,else
77,gone
78,oh
79,oh
80,oh
81,oh
82,oh
83,oh
84,oh
85,oh
86,oh
87,oh
88,oh
89,oh
90,oh
91,oh
92,oh
93,turn
94,another
95,dig
96,covering
97,better
98,part
99,sing
100,song
101,remind
102,we'll
103,always
104,everything
105,else
106,gone
107,oh
108,sing
109,song
110,everything
111,else
112,gone
113,oh
114,everything
115,else
116,gone
