,Daughters_John Mayer
0,know
1,girl
2,puts
3,color
4,inside
5,world
6,like
7,maze
8,walls
9,continually
10,change
11,i've
12,done
13,stand
14,steps
15,heart
16,hand
17,i'm
18,starting
19,see
20,maybe
21,got
22,nothing
23,fathers
24,good
25,daughters
26,daughters
27,love
28,like
29,girls
30,become
31,lovers
32,turn
33,mothers
34,mothers
35,good
36,daughters
37,oh
38,see
39,skin
40,standing
41,since
42,day
43,saw
44,walking
45,away
46,left
47,cleaning
48,mess
49,made
50,fathers
51,good
52,daughters
53,daughters
54,love
55,like
56,girls
57,become
58,lovers
59,turn
60,mothers
61,mothers
62,good
63,daughters
64,boys
65,break
66,find
67,much
68,take
69,boys
70,strong
71,boys
72,soldier
73,boys
74,would
75,gone
76,without
77,warmth
78,woman's
79,good
80,good
81,heart
82,behalf
83,every
84,man
85,looking
86,every
87,girl
88,god
89,weight
90,world
91,fathers
92,good
93,daughters
94,daughters
95,love
96,like
97,girls
98,become
99,lovers
100,turn
101,mothers
102,mothers
103,good
104,daughters
105,mothers
106,good
107,daughters
108,mothers
109,good
110,daughters
