,The Closest Thing to Crazy_Katie Melua
0,think
1,i'm
2,standing
3,strong
4,yet
5,feel
6,air
7,beneath
8,feet
9,happiness
10,feel
11,wrong
12,misery
13,feel
14,sweet
15,let
16,watch
17,sleep
18,break
19,dreams
20,way
21,got
22,deep
23,fall
24,love
25,closest
26,thing
27,crazy
28,ever
29,feeling
30,twentytwo
31,acting
32,seventeen
33,nearest
34,thing
35,crazy
36,ever
37,known
38,never
39,crazy
40,know
41,there's
42,link
43,two
44,close
45,craziness
46,close
47,make
48,fall
49,apart
50,break
51,fall
52,loving
53,lies
54,easy
55,break
56,heart
57,easy
58,close
59,eyes
60,treat
61,like
62,child
63,yet
64,like
65,child
66,yearn
67,anyone
68,feel
69,wild
70,anyone
71,feel
72,blue
