,It's True That We Love One Another_The White Stripes
0,jack
1,white
2,holly
3,golightly
4,well
5,true
6,love
7,one
8,another
9,holly
10,love
11,jack
12,white
13,like
14,little
15,brother
16,jack
17,well
18,holly
19,love
20,there's
21,much
22,know
23,holly
24,jack
25,give
26,money
27,pay
28,bills
29,jack
30,dough
31,give
32,holly
33,using
34,pain
35,pills
36,holly
37,jack
38,call
39,able
40,jack
41,got
42,phone
43,number
44,written
45,back
46,bible
47,holly
48,jack
49,think
50,pulling
51,leg
52,think
53,maybe
54,better
55,ask
56,meg
57,meg
58,think
59,jack
60,really
61,loves
62,meg
63,white
64,know
65,care
66,cause
67,jack
68,really
69,bugs
70,ask
71,holly
72,well
73,would
74,meg
75,really
76,know
77,meg
78,say
79,“jack
80,adore
81,me”
82,jack
83,well
84,would
85,holly
86,love
87,really
88,bores
89,holly
90,jack
91,guess
92,friends
93,jack
94,i'm
95,kidding
96,holly
97,know
98,i'll
99,love
100,'til
101,end
102,jack
103,holly
104,well
105,true
106,love
107,one
108,another
109,holly
110,love
111,jack
112,white
113,like
114,little
115,brother
116,jack
117,well
118,holly
119,love
120,there's
121,much
122,know
123,jack
124,holly
125,give
126,english
127,lovin'
128,holly
129,jack
130,i'd
131,one
132,oven
133,go
134,love
135,jack
136,holly
137,anything
138,left
139,anybody
140,else
141,holly
142,jack
143,bad
144,way
145,look
146,jack
147,know
148,gave
149,horse
150,carrot
151,he'd
152,break
153,foot
154,meg
155,two
156,cut
157,tell
158,'em
159,really
160,jack
161,holly
162,well
163,true
164,love
165,one
166,another
167,holly
168,love
169,jack
170,white
171,like
172,little
173,brother
174,jack
175,well
176,holly
177,love
178,there's
179,much
180,know
181,spoken
182,outtro
183,holly
184,jack
185,good
186,jolly
187,good
188,jolly
189,good
190,yeah
191,nice
192,jolly
193,good
194,cup
195,tea
196,bruce
197,let's
198,celebrate
