,The Calculation_Regina Spektor
0,went
1,kitchen
2,cupboard
3,got
4,another
5,hour
6,gave
7,half
8,sat
9,looking
10,faces
11,strangers
12,pages
13,'til
14,knew
15,mathematically
16,prechorus
17,minds
18,forever
19,mind
20,know
21,better
22,made
23,computer
24,macaroni
25,pieces
26,thinking
27,lived
28,lives
29,counted
30,feelings
31,divided
32,even
33,called
34,calculation
35,perfect
36,love
37,prechorus
38,even
39,know
40,love
41,bigger
42,even
43,know
44,love
45,hey
46,hey
47,hey
48,hey
49,fire
50,burning
51,burning
52,us
53,hey
54,fire
55,burning
56,burning
57,us
58,made
59,hard
60,decision
61,made
62,incision
63,past
64,muscles
65,bones
66,saw
67,hearts
68,little
69,stones
70,pulled
71,beating
72,even
73,bleeding
74,lay
75,granite
76,counter
77,top
78,prechorus
79,beat
80,beat
81,struck
82,hard
83,struck
84,hard
85,hard
86,sparked
87,hey
88,fire
89,burning
90,burning
91,us
92,hey
93,fire
94,burning
95,burning
96,us
97,hey
98,fire
99,burning
100,burning
101,us
102,oooh
103,ohh
104,oooh
105,oooh
106,ohh
107,oooh
108,oooh
109,ohh
110,oooh
111,oooh
112,ohh
113,oooh
