,Sowing Season (Yeah)_Brand New
0,losing
1,friends
2,losing
3,drinking
4,driving
5,losing
6,friends
7,got
8,back
9,mend
10,least
11,say
12,trying
13,hope
14,forget
15,things
16,still
17,lack
18,yeah
19,yeah
20,bear
21,hear
22,truth
23,spoken
24,twisted
25,knaves
26,make
27,trap
28,fools
29,watch
30,things
31,gave
32,life
33,broken
34,stoop
35,build
36,worn
37,tools
38,yeah
39,yeah
40,yeah
41,yeah
42,yeah
43,nothing
44,gets
45,bad
46,whisper
47,father
48,fix
49,whisper's
50,like
51,river
52,span
53,take
54,turn
55,something
56,would
57,miss
58,somebody
59,threw
60,brick
61,shattered
62,plans
63,yeah
64,yeah
65,yeah
66,yeah
67,yeah
68,postchorus
69,time
70,get
71,seeds
72,cold
73,ground
74,takes
75,grow
76,anything
77,coming
78,end
79,yeah
80,put
81,body
82,cold
83,ground
84,take
85,time
86,warm
87,hand
88,coming
89,end
90,yeah
91,coming
92,end
93,yeah
94,coming
95,end
96,yeah
97,miss
98,blend
99,colors
100,left
101,black
102,white
103,field
104,feel
105,condemned
106,friend
107,man
108,knows
109,feel
110,friend
111,i'm
112,lover
113,i'm
114,family
115,yeah
116,yeah
117,yeah
118,yeah
119,yeah
120,postchorus
121,time
122,get
123,seeds
124,cold
125,ground
126,takes
127,grow
128,anything
129,coming
130,end
131,yeah
