,Light Up the Sky_Yellowcard
0,making
1,choice
2,live
3,like
4,noise
5,silence
6,already
7,know
8,ends
9,tonight
10,run
11,dark
12,firefight
13,would
14,explode
15,save
16,life
17,yeah
18,would
19,explode
20,let
21,light
22,sky
23,light
24,let
25,tell
26,would
27,die
28,let
29,light
30,sky
31,can't
32,find
33,wall
34,pin
35,they're
36,coming
37,since
38,i've
39,found
40,wanna
41,tonight
42,run
43,dark
44,looking
45,light
46,know
47,try
48,ever
49,know
50,let
51,light
52,sky
53,light
54,let
55,tell
56,would
57,die
58,let
59,light
60,sky
61,light
62,let
63,make
64,mine
65,i'll
66,ignite
67,let
68,light
69,sky
70,tonight
71,let
72,help
73,fly
74,'cause
75,time
76,cover
77,eyes
78,get
79,disguise
80,ask
81,they'll
82,watch
83,die
84,still
85,hard
86,play
87,part
88,show
89,goes
90,come
91,far
92,broken
93,heart
94,yeah
95,come
96,far
97,broken
98,let
99,light
100,sky
101,light
102,let
103,tell
104,would
105,die
106,let
107,light
108,sky
109,light
110,let
111,make
112,mine
113,i'll
114,ignite
115,let
116,light
117,sky
118,light
119,let
120,tell
121,would
122,die
123,still
124,hard
125,come
126,far
127,broken
128,heart
129,still
130,hard
131,come
132,far
133,broken
134,let
135,light
136,sky
137,let
138,light
139,sky
