,You're Beautiful_James Blunt
0,life
1,brilliant
2,life
3,brilliant
4,love
5,pure
6,saw
7,angel
8,i'm
9,sure
10,smiled
11,subway
12,another
13,man
14,lose
15,sleep
16,'cause
17,i've
18,got
19,plan
20,beautiful
21,beautiful
22,beautiful
23,true
24,saw
25,face
26,crowded
27,place
28,know
29,'cause
30,i'll
31,never
32,yeah
33,caught
34,eye
35,walked
36,could
37,see
38,face
39,fucking
40,high
41,think
42,i'll
43,see
44,shared
45,moment
46,last
47,'til
48,end
49,beautiful
50,beautiful
51,beautiful
52,true
53,saw
54,face
55,crowded
56,place
57,know
58,'cause
59,i'll
60,never
61,na
62,na
63,na
64,na
65,na
66,na
67,na
68,na
69,na
70,na
71,na
72,na
73,na
74,beautiful
75,beautiful
76,beautiful
77,true
78,must
79,angel
80,smile
81,face
82,thought
83,time
84,face
85,truth
86,never
