,Hate_Cat Power
0,anyone
1,tell
2,there's
3,road
4,ride
5,everyone
6,tell
7,there's
8,place
9,hide
10,there's
11,laws
12,rules
13,unchain
14,life
15,ones
16,make
17,ones
18,take
19,glad
20,made
21,alive
22,everyone
23,loves
24,fun
25,everyone
26,comes
27,wind
28,crunch
29,want
30,die
31,give
32,pills
33,let
34,drink
35,fill
36,heart
37,wants
38,explode
39,far
40,away
41,nobody
42,knows
43,believe
44,said
45,believe
46,said
47,said
48,hate
49,want
50,die
51,half
52,innocent
53,half
54,wise
55,whole
56,damn
57,thing
58,makes
59,sense
60,wish
61,could
62,tell
63,lie
64,hey
65,come
66,let
67,whisper
68,ear
69,hate
70,want
71,die
72,believe
73,said
74,believe
75,repeated
76,said
77,hate
78,said
79,hate
80,want
81,die
