,Be Without You_Mary J. Blige
0,wanna
1,gotta
2,need
3,ohoh
4,ohoh
5,wanna
6,gotta
7,need
8,ohoh
9,ohoh
10,ooh
11,ohoh
12,ohoh
13,ooh
14,ohoh
15,ohoh
16,chemistry
17,crazy
18,get
19,go
20,neither
21,one
22,us
23,knew
24,didn’t
25,build
26,nothin’
27,overnight
28,cause
29,love
30,like
31,takes
32,time
33,people
34,swore
35,phase
36,said
37,can’t
38,see
39,top
40,bottom
41,see
42,yes
43,it’s
44,true
45,yes
46,yes
47,got
48,real
49,shit
50,yes
51,see
52,baby
53,we've
54,strong
55,long
56,can’t
57,without
58,baby
59,i’ll
60,waitin’
61,get
62,home
63,'cause
64,can’t
65,sleep
66,without
67,baby
68,ohh
69,anybody
70,who’s
71,ever
72,loved
73,know
74,feel
75,hard
76,fake
77,nothin’
78,replace
79,call
80,radio
81,can’t
82,without
83,baby
84,got
85,question
86,ya
87,see
88,already
89,know
90,answer
91,still
92,wanna
93,ask
94,lie
95,make
96,cry
97,somethin'
98,behind
99,back
100,try
101,cover
102,well
103,neither
104,would
105,baby
106,love
107,love
108,yes
109,i’ll
110,faithful
111,yes
112,i’m
113,real
114,yes
115,us
116,you’ll
117,always
118,know
119,deal
120,we've
121,strong
122,long
123,can’t
124,without
125,baby
126,ohh
127,i’ll
128,waitin’
129,get
130,home
131,'cause
132,can’t
133,sleep
134,without
135,baby
136,ooh
137,anybody
138,who’s
139,ever
140,loved
141,know
142,feel
143,hard
144,fake
145,nothin’
146,replace
147,call
148,radio
149,can’t
150,without
151,baby
152,yeah
153,see
154,real
155,talk
156,i’mma
157,always
158,stay
159,matter
160,good
161,bad
162,thick
163,thin
164,right
165,wrong
166,day
167,every
168,day
169,hey
170,you’re
171,love
172,don’t
173,believe
174,ain’t
175,ain’t
176,got
177,deep
178,heart
179,deep
180,know
181,it’s
182,true
183,c’mon
184,c’mon
185,c’mon
186,well
187,let
188,see
189,put
190,hands
191,hands
192,fellas
193,tell
194,lady
195,she’s
196,one
197,fellas
198,tell
199,lady
200,she’s
201,one
202,oh
203,put
204,hands
205,hands
206,ladies
207,let
208,know
209,he’s
210,got
211,locked
212,look
213,right
214,eyes
215,tell
216,we've
217,strong
218,long
219,can’t
220,without
221,baby
222,can’t
223,without
224,baby
225,i’ll
226,waitin’
227,get
228,home
229,'cause
230,can’t
231,sleep
232,without
233,baby
234,oh
235,anybody
236,who’s
237,ever
238,loved
239,know
240,feel
241,hard
242,fake
243,nothin’
244,replace
245,call
246,radio
247,can’t
248,without
249,baby
250,hey
251,oh
252,oh
253,oh
254,hey
255,oh
256,oh
257,oh
258,wanna
259,gotta
260,need
261,wanna
262,gotta
263,need
264,wanna
265,gotta
266,need
267,wanna
268,gotta
269,need
270,wanna
271,gotta
272,need
