,Who Needs Love?_Razorlight
0,ooh
1,darling
2,needs
3,love
4,needs
5,heaven
6,needs
7,clouds
8,sky
9,ooh
10,darling
11,needs
12,rain
13,needs
14,somebody
15,feel
16,pain
17,needs
18,disappointment
19,telephone
20,call
21,need
22,i'm
23,tired
24,love
25,yeah
26,sick
27,love
28,i've
29,taken
30,enough
31,ooh
32,darling
33,needs
34,night
35,sacred
36,hours
37,fading
38,light
39,needs
40,morning
41,joy
42,brings
43,i've
44,got
45,mind
46,things
47,ooh
48,darling
49,needs
50,joy
51,needs
52,perfect
53,girl
54,boy
55,needs
56,draw
57,person
58,near
59,always
60,disappear
61,know
62,i'm
63,tired
64,love
65,yeah
66,yeah
67,i'm
68,sick
69,love
70,yeah
71,give
72,enough
73,i'm
74,gone
75,ooh
76,darling
77,needs
78,love
79,needs
80,heaven
81,needs
82,arguments
83,needs
84,right
85,can't
86,give
87,without
88,fight
89,can't
90,give
91,without
92,fight
93,can't
94,give
95,without
96,fight
97,ooh
98,ooohhhooo
