,Ho Hey_The Lumineers
0,trying
1,right
2,living
3,lonely
4,life
5,sleepin'
6,instead
7,sleepin'
8,bed
9,sleepin'
10,bed
11,show
12,family
13,blood
14,bleed
15,know
16,belong
17,know
18,went
19,wrong
20,write
21,song
22,belong
23,belong
24,sweetheart
25,belong
26,belong
27,sweetheart
28,think
29,right
30,think
31,might
32,took
33,bus
34,chinatown
35,i'd
36,standin'
37,canal
38,bowery
39,she'd
40,standin'
41,next
42,belong
43,belong
44,sweetheart
45,belong
46,belong
47,sweetheart
48,love
49,need
50,let's
51,hope
52,cause
53,oh
54,we're
55,bleedin'
56,belong
57,belong
58,sweetheart
59,belong
60,belong
61,sweetheart
