,More Than Words_Extreme
0,gary
1,cherone
2,saying
3,love
4,words
5,want
6,hear
7,want
8,say
9,knew
10,easy
11,would
12,show
13,feel
14,words
15,make
16,real
17,say
18,love
19,'cause
20,i'd
21,already
22,know
23,would
24,heart
25,torn
26,two
27,words
28,show
29,feel
30,love
31,real
32,would
33,say
34,took
35,words
36,away
37,make
38,things
39,new
40,saying
41,love
42,dadedaladeda
43,ladedeideidei
44,words
45,dadedaladeda
46,gary
47,cherone
48,i've
49,tried
50,talk
51,make
52,understand
53,close
54,eyes
55,reach
56,hands
57,touch
58,hold
59,close
60,ever
61,let
62,go
63,words
64,ever
65,needed
66,show
67,say
68,love
69,'cause
70,i'd
71,already
72,know
73,would
74,heart
75,torn
76,two
77,words
78,show
79,feel
80,love
81,real
82,would
83,say
84,took
85,words
86,away
87,make
88,things
89,new
90,saying
91,love
92,dadedaladeda
93,ladedeideidei
94,words
95,dadedaladeda
96,ladedeideidei
97,words
98,ladedeideidei
99,ladedeideidei
100,ladedeideidei
101,words
102,words
103,words
