,Girl_The Beatles
0,john
1,lennon
2,anybody
3,going
4,listen
5,story
6,girl
7,came
8,stay
9,kind
10,girl
11,want
12,much
13,makes
14,sorry
15,still
16,regret
17,single
18,day
19,john
20,lennon
21,ah
22,girl
23,girl
24,girl
25,john
26,lennon
27,think
28,times
29,i've
30,tried
31,hard
32,leave
33,turn
34,start
35,cry
36,promises
37,earth
38,believe
39,time
40,know
41,john
42,lennon
43,ah
44,girl
45,girl
46,girl
47,john
48,lennon
49,paul
50,mccartney
51,george
52,harrison
53,kind
54,girl
55,puts
56,tit
57,tit
58,tit
59,tit
60,tit
61,tit
62,tit
63,tit
64,friends
65,feel
66,fool
67,tit
68,tit
69,tit
70,tit
71,tit
72,tit
73,tit
74,tit
75,tit
76,tit
77,tit
78,tit
79,tit
80,tit
81,tit
82,tit
83,tit
84,tit
85,tit
86,tit
87,tit
88,tit
89,tit
90,tit
91,say
92,looking
93,good
94,tit
95,tit
96,tit
97,tit
98,tit
99,tit
100,tit
101,tit
102,acts
103,understood
104,tit
105,tit
106,tit
107,tit
108,tit
109,tit
110,tit
111,tit
112,cool
113,ooh
114,ooh
115,ooh
116,tit
117,tit
118,tit
119,tit
120,tit
121,tit
122,tit
123,tit
124,tit
125,tit
126,tit
127,tit
128,tit
129,tit
130,tit
131,tit
132,john
133,lennon
134,girl
135,girl
136,girl
137,john
138,lennon
139,told
140,young
141,pain
142,would
143,lead
144,pleasure
145,understand
146,said
147,man
148,must
149,break
150,back
151,earn
152,day
153,leisure
154,still
155,believe
156,he's
157,dead
158,john
159,lennon
160,ah
161,girl
162,girl
163,girl
164,john
165,lennon
166,ah
167,girl
168,girl
