,I Would Do Anything for You_Foster the People
0,never
1,want
2,stand
3,upon
4,never
5,want
6,get
7,way
8,said
9,don’t
10,know
11,plan
12,share
13,‘cause
14,i’ll
15,listening
16,ear
17,everything
18,say
19,won’t
20,turn
21,away
22,i'll
23,listen
24,open
25,heart
26,must
27,say
28,love
29,ooooh
30,la
31,love
32,i’ve
33,fallen
34,love
35,it’s
36,better
37,time
38,ever
39,ooooh
40,la
41,love
42,i’ve
43,fallen
44,love
45,it’s
46,better
47,time
48,i’ve
49,ever
50,known
51,every
52,day
53,battle
54,face
55,strange
56,life
57,live
58,decided
59,i’ll
60,give
61,hands
62,i'll
63,i’ll
64,smile
65,speak
66,remember
67,times
68,hoping
69,something
70,shaking
71,head
72,done
73,never
74,left
75,ooooh
76,la
77,love
78,i’ve
79,fallen
80,love
81,it’s
82,better
83,time
84,ever
85,ooooh
86,la
87,love
88,i’ve
89,fallen
90,love
91,it’s
92,better
93,time
94,i’ve
95,ever
96,known
97,ooooh
98,la
99,love
100,i’ve
101,fallen
102,love
103,it’s
104,better
105,time
106,ever
107,ooooh
108,la
109,love
110,i’ve
111,fallen
112,love
113,it’s
114,better
115,time
116,i’ve
117,ever
118,known
119,give
120,would
121,give
122,would
123,give
124,i’d
125,anything
126,ooooh
127,la
128,love
129,i’ve
130,fallen
131,love
132,it’s
133,better
134,time
135,ever
136,ooooh
137,la
138,love
139,i’ve
140,fallen
141,love
142,it’s
143,better
144,time
145,i’ve
146,ever
147,known
148,ooooh
149,la
150,love
151,i’ve
152,fallen
153,love
154,it’s
155,better
156,time
157,ever
158,ooooh
159,la
160,love
161,i’ve
162,fallen
163,love
164,it’s
165,better
166,time
167,i’ve
168,ever
169,known
170,fallen
171,love
172,fallen
173,love
