,"Hold On, We're Going Home_Drake"
0,produced
1,nineteen85
2,majid
3,jordan
4,noah
5,shebib
6,drake
7,got
8,eyes
9,everything
10,see
11,want
12,hot
13,love
14,emotion
15,endlessly
16,can't
17,get
18,left
19,mark
20,want
21,hot
22,love
23,emotion
24,endlessly
25,prehook
26,drake
27,'cause
28,good
29,girl
30,know
31,act
32,different
33,around
34,'cause
35,good
36,girl
37,know
38,know
39,exactly
40,could
41,drake
42,hold
43,we're
44,going
45,home
46,hold
47,we're
48,going
49,home
50,hard
51,things
52,alone
53,hold
54,we're
55,going
56,home
57,drake
58,got
59,eyes
60,everything
61,see
62,want
63,hot
64,love
65,emotion
66,endlessly
67,can't
68,get
69,left
70,mark
71,want
72,hot
73,love
74,emotion
75,endlessly
76,prehook
77,drake
78,'cause
79,good
80,girl
81,know
82,act
83,different
84,around
85,'cause
86,good
87,girl
88,know
89,know
90,exactly
91,could
92,drake
93,majid
94,jordan
95,hold
96,we're
97,going
98,home
99,going
100,home
101,hold
102,we're
103,going
104,home
105,going
106,home
107,hard
108,things
109,alone
110,things
111,alone
112,hold
113,we're
114,going
115,home
116,going
117,home
118,majid
119,al
120,maskati
121,girl
122,one
123,gave
124,everything
125,loved
126,think
127,there's
128,something
129,baby
130,think
131,there's
132,something
133,baby
134,girl
135,one
136,gave
137,everything
138,loved
139,think
140,there's
141,something
142,baby
143,think
144,there's
145,something
146,baby
147,prehook
148,drake
149,majid
150,al
151,maskati
152,'cause
153,good
154,girl
155,know
156,act
157,different
158,around
159,'cause
160,good
161,girl
162,know
163,know
164,exactly
165,could
166,drake
167,majid
168,jordan
169,hold
170,we're
171,going
172,home
173,going
174,home
175,hold
176,we're
177,going
178,home
179,going
180,home
181,hard
182,things
183,alone
184,things
185,alone
186,hold
187,we're
188,going
189,home
190,going
191,home
