,Push_Matchbox Twenty
0,said
1,know
2,i've
3,ever
4,good
5,enough
6,i'm
7,little
8,bit
9,rusty
10,think
11,head
12,caving
13,know
14,i've
15,ever
16,really
17,loved
18,hand
19,that's
20,touched
21,well
22,feel
23,like
24,something's
25,gonna
26,give
27,i'm
28,little
29,bit
30,angry
31,well
32,ain't
33,still
34,need
35,around
36,owe
37,might
38,change
39,yeah
40,might
41,feel
42,good
43,wanna
44,push
45,around
46,wanna
47,push
48,wanna
49,take
50,granted
51,wanna
52,take
53,granted
54,said
55,know
56,ever
57,would
58,lie
59,like
60,i'm
61,little
62,untrusting
63,think
64,truth
65,gonna
66,hurt
67,ya
68,know
69,stay
70,stand
71,near
72,face
73,seem
74,want
75,shine
76,'cause
77,little
78,bit
79,dirty
80,well
81,stand
82,say
83,nice
84,things
85,'cause
86,i've
87,cheated
88,i've
89,wronged
90,know
91,well
92,can't
93,change
94,anything
95,wanna
96,push
97,around
98,wanna
99,push
100,wanna
101,take
102,granted
103,wanna
104,take
105,granted
106,oh
107,bowl
108,wait
109,minute
110,well
111,kinda
112,fell
113,apart
114,things
115,get
116,crazy
117,crazy
118,rush
119,baby
120,rush
121,baby
122,wanna
123,push
124,around
125,wanna
126,push
127,wanna
128,take
129,granted
130,wanna
131,take
132,granted
