,It Must Have Been Love_Roxette
0,lay
1,whisper
2,pillow
3,leave
4,winter
5,ground
6,wake
7,lonely
8,air
9,silence
10,bedroom
11,around
12,touch
13,close
14,eyes
15,dream
16,away
17,must
18,love
19,must
20,good
21,lost
22,somehow
23,must
24,love
25,moment
26,touched
27,till
28,time
29,run
30,make
31,believing
32,we're
33,together
34,i'm
35,sheltered
36,heart
37,outside
38,turn
39,water
40,like
41,teardrop
42,palm
43,hard
44,winter's
45,day
46,dream
47,away
48,must
49,love
50,must
51,love
52,wanted
53,i'm
54,living
55,without
56,must
57,love
58,must
59,love
60,water
61,flows
62,wind
63,blows
64,instrumental
65,break
66,must
67,love
68,must
69,love
70,must
71,good
72,lost
73,somehow
74,must
75,love
76,must
77,love
78,moment
79,touched
80,till
81,time
82,run
83,yeah
84,must
85,love
86,must
87,love
88,wanted
89,i'm
90,living
91,without
92,must
93,love
94,water
95,flows
96,wind
97,blows
98,must
99,love
100,must
101,love
