,True Colors_Cyndi Lauper
0,sad
1,eyes
2,discouraged
3,oh
4,realize
5,hard
6,take
7,courage
8,world
9,full
10,people
11,lose
12,sight
13,darkness
14,inside
15,make
16,feel
17,small
18,see
19,true
20,colors
21,shining
22,see
23,true
24,colors
25,that's
26,love
27,afraid
28,let
29,show
30,true
31,colors
32,true
33,colors
34,beautiful
35,like
36,rainbow
37,show
38,smile
39,unhappy
40,can't
41,remember
42,last
43,saw
44,laughing
45,world
46,makes
47,crazy
48,taken
49,bear
50,call
51,know
52,i'll
53,i'll
54,see
55,true
56,colors
57,shining
58,see
59,true
60,colors
61,that's
62,love
63,afraid
64,let
65,show
66,true
67,colors
68,true
69,colors
70,beautiful
71,like
72,rainbow
73,can't
74,remember
75,last
76,saw
77,laugh
78,world
79,makes
80,crazy
81,taken
82,bear
83,call
84,know
85,i'll
86,i'll
87,see
88,true
89,colors
90,shining
91,see
92,true
93,colors
94,that's
95,love
96,afraid
97,let
98,show
99,true
100,colors
101,true
102,colors
103,true
104,colors
105,shining
106,see
107,true
108,colors
109,that's
110,love
111,afraid
112,let
113,show
114,true
115,colors
116,true
117,colors
118,beautiful
119,like
120,rainbow
