,If I Needed Someone_The Beatles
0,needed
1,someone
2,love
3,one
4,i'd
5,thinking
6,needed
7,someone
8,prechorus
9,time
10,spend
11,guess
12,i'd
13,friend
14,needed
15,someone
16,come
17,day
18,might
19,like
20,see
21,i'm
22,much
23,love
24,carve
25,number
26,wall
27,maybe
28,get
29,call
30,needed
31,someone
32,ah
33,ah
34,ah
35,ah
36,prechorus
37,time
38,spend
39,guess
40,i'd
41,friend
42,needed
43,someone
44,come
45,day
46,might
47,like
48,see
49,i'm
50,much
51,love
52,carve
53,number
54,wall
55,maybe
56,get
57,call
58,needed
59,someone
60,ah
61,ah
