,If I Fell_The Beatles
0,john
1,lennon
2,fell
3,love
4,would
5,promise
6,true
7,help
8,understand
9,'cause
10,i've
11,love
12,found
13,love
14,holding
15,hands
16,paul
17,mccartney
18,john
19,lennon
20,give
21,heart
22,must
23,sure
24,start
25,would
26,love
27,paul
28,mccartney
29,john
30,lennon
31,trust
32,oh
33,please
34,run
35,hide
36,love
37,oh
38,please
39,hurt
40,pride
41,like
42,'cause
43,stand
44,pain
45,would
46,sad
47,new
48,love
49,vain
50,paul
51,mccartney
52,john
53,lennon
54,hope
55,see
56,would
57,love
58,love
59,cry
60,learns
61,two
62,paul
63,mccartney
64,john
65,lennon
66,'cause
67,stand
68,pain
69,would
70,sad
71,new
72,love
73,vain
74,paul
75,mccartney
76,john
77,lennon
78,hope
79,see
80,would
81,love
82,love
83,cry
84,learns
85,two
86,paul
87,mccartney
88,john
89,lennon
90,fell
91,love
