,I Should Have Known Better_The Beatles
0,known
1,better
2,girl
3,like
4,would
5,love
6,everything
7,hey
8,hey
9,hey
10,whoa
11,oh
12,never
13,realized
14,kiss
15,could
16,could
17,happen
18,can't
19,see
20,can't
21,see
22,tell
23,love
24,oh
25,going
26,say
27,love
28,oh
29,ask
30,mine
31,gonna
32,say
33,love
34,realized
35,lot
36,things
37,love
38,got
39,give
40,give
41,hey
42,hey
43,hey
44,give
45,guitar
46,solo
47,whoa
48,oh
49,never
50,realized
51,kiss
52,could
53,could
54,happen
55,can't
56,see
57,can't
58,see
59,tell
60,love
61,oh
62,going
63,say
64,love
65,oh
66,ask
67,mine
68,going
69,say
70,love
71,love
72,love
73,love
