,Love of My Life_Queen
0,love
1,life
2,hurt
3,broken
4,heart
5,leave
6,prechorus
7,love
8,life
9,can't
10,see
11,bring
12,back
13,bring
14,back
15,take
16,away
17,know
18,means
19,love
20,life
21,leave
22,taken
23,love
24,desert
25,prechorus
26,love
27,life
28,can't
29,see
30,bring
31,back
32,bring
33,back
34,take
35,away
36,know
37,means
38,remember
39,blown
40,everything's
41,way
42,grow
43,older
44,side
45,remind
46,still
47,love
48,still
49,love
50,instrumental
51,break
52,back
53,hurry
54,back
55,please
56,bring
57,back
58,home
59,know
60,means
61,love
62,life
63,love
64,life
65,ooh
66,ooh
