,My Sweet Prince_Placebo
0,never
1,thought
2,make
3,perspire
4,never
5,thought
6,i'd
7,never
8,thought
9,i'd
10,fill
11,desire
12,never
13,thought
14,i'd
15,feel
16,ashamed
17,dragon
18,chase
19,pain
20,away
21,end
22,day
23,remember
24,sweet
25,prince
26,one
27,sweet
28,prince
29,one
30,never
31,thought
32,i'd
33,retire
34,never
35,thought
36,i'd
37,abstain
38,never
39,thought
40,could
41,backfire
42,close
43,hole
44,vein
45,valuable
46,friend
47,fix
48,pain
49,away
50,end
51,day
52,remember
53,sweet
54,prince
55,one
56,sweet
57,prince
58,one
59,one
60,x4
61,never
62,thought
63,i'd
64,get
65,higher
66,never
67,thought
68,fuck
69,brain
70,never
71,thought
72,could
73,expire
74,never
75,thought
76,go
77,break
78,chain
79,baby
80,used
81,flush
82,pain
83,away
84,end
85,day
86,remember
87,sweet
88,prince
89,one
90,sweet
91,prince
92,one
93,one
94,x8
95,sweet
96,prince
97,sweet
98,prince
