,Love Is a Laserquest_Arctic Monkeys
0,still
1,feel
2,younger
3,thought
4,would
5,darling
6,started
7,feeling
8,old
9,yet
10,worry
11,i'm
12,sure
13,still
14,breaking
15,hearts
16,efficiency
17,youth
18,harness
19,still
20,think
21,love
22,laserquest
23,take
24,seriously
25,i've
26,tried
27,ask
28,daydreams
29,i've
30,always
31,busy
32,makebelieve
33,look
34,mirror
35,remind
36,somebody's
37,goodnight
38,kisses
39,got
40,covered
41,i'm
42,honest
43,pretend
44,lover
45,can't
46,think
47,air
48,without
49,thinking
50,doubt
51,comes
52,surprise
53,can't
54,think
55,anything
56,dream
57,can't
58,find
59,anywhere
60,hide
61,i'm
62,hanging
63,rings
64,around
65,eyes
66,convince
67,need
68,another
69,minute
70,gets
71,easy
72,pretend
73,lover
74,instrumental
75,break
76,i'm
77,pipe
78,slippers
79,rocking
80,chair
81,singing
82,dreadful
83,songs
84,summer
85,found
86,better
87,method
88,pretending
89,lover
90,found
91,better
92,method
93,pretending
94,lover
