,Nothin' on You (feat. Bruno Mars)_B.o.B
0,bruno
1,mars
2,bob
3,beautiful
4,girls
5,world
6,could
7,chasin'
8,time
9,would
10,wasted
11,got
12,nothin'
13,baby
14,nothin'
15,baby
16,might
17,say
18,hi
19,might
20,say
21,hey
22,worry
23,say
24,'cause
25,got
26,nothin'
27,baby
28,yeah
29,nothin'
30,baby
31,na—na—na—nothin'
32,baby
33,na—nothin'
34,bob
35,know
36,feel
37,i'm
38,comin'
39,regardless
40,things
41,past
42,i've
43,done
44,really
45,hell
46,fun
47,carousel
48,around
49,spun
50,directions
51,tryna
52,get
53,tryna
54,chase
55,skirts
56,livin'
57,summer
58,sun
59,lost
60,ever
61,honestly
62,ended
63,none
64,prechorus
65,bob
66,there's
67,much
68,nonsense
69,conscience
70,i'm
71,thinkin'
72,maybe
73,get
74,wanna
75,sound
76,redundant
77,wonderin'
78,somethin'
79,wanna
80,know
81,wanna
82,know
83,never
84,mind
85,let
86,go
87,let
88,go
89,'cause
90,wanna
91,tv
92,episode
93,tv
94,episode
95,bad
96,thoughts
97,let
98,'em
99,go
100,go
101,go
102,go
103,go
104,bruno
105,mars
106,bob
107,beautiful
108,girls
109,world
110,could
111,chasin'
112,time
113,would
114,wasted
115,got
116,nothin'
117,baby
118,na—na—na—nothin'
119,baby
120,na—nothin'
121,nothin'
122,baby
123,na—na—na—nothin'
124,baby
125,na—nothin'
126,might
127,say
128,hi
129,hi
130,might
131,say
132,hey
133,hey
134,worry
135,say
136,'cause
137,got
138,nothin'
139,baby
140,na—na—na—nothin'
141,baby
142,na—nothin'
143,nothin'
144,baby
145,na—na—na—nothin'
146,baby
147,na—nothin'
148,bob
149,hands
150,never
151,another
152,one
153,around
154,never
155,seen
156,another
157,one
158,style
159,ain't
160,really
161,got
162,nothin'
163,wild
164,ain't
165,got
166,nothin'
167,baby
168,whole
169,package
170,plus
171,pay
172,taxes
173,keep
174,real
175,others
176,stay
177,plastic
178,wonder
179,woman
180,call
181,mr
182,fantastic
183,stop
184,think
185,prechorus
186,bob
187,i've
188,london
189,yeah
190,i've
191,paris
192,yeah
193,even
194,way
195,tokyo
196,tokyo
197,back
198,home
199,georgia
200,yeah
201,new
202,orleans
203,yeah
204,always
205,steal
206,show
207,steal
208,show
209,like
210,girl
211,got
212,froze
213,got
214,froze
215,like
216,nintendo
217,never
218,knew
219,well
220,know
221,know
222,know
223,know
224,know
225,bruno
226,mars
227,bob
228,beautiful
229,girls
230,world
231,could
232,chasin'
233,time
234,would
235,wasted
236,haha
237,got
238,nothin'
239,baby
240,na—na—na—nothin'
241,baby
242,na—nothin'
243,nothin'
244,baby
245,na—na—na—nothin'
246,baby
247,na—nothin'
248,might
249,say
250,hi
251,hi
252,might
253,say
254,hey
255,hey
256,worry
257,say
258,'cause
259,got
260,nothin'
261,baby
262,na—na—na—nothin'
263,baby
264,na—nothin'
265,nothin'
266,baby
267,na—na—na—nothin'
268,baby
269,na—nothin'
270,bob
271,everywhere
272,go
273,i'm
274,always
275,hearin'
276,name
277,matter
278,i'm
279,girl
280,make
281,wanna
282,sing
283,whether
284,bus
285,plane
286,car
287,train
288,girl's
289,brain
290,one
291,blame
292,bruno
293,mars
294,bob
295,beautiful
296,girls
297,world
298,could
299,chasin'
300,time
301,would
302,wasted
303,got
304,nothin'
305,baby
306,na—na—na—nothin'
307,baby
308,na—nothin'
309,nothin'
310,baby
311,na—na—na—nothin'
312,baby
313,na—nothin'
314,might
315,say
316,hi
317,hi
318,might
319,say
320,hey
321,hello
322,worry
323,say
324,'cause
325,got
326,nothin'
327,baby
328,na—na—na—nothin'
329,baby
330,na—nothin'
331,nothin'
332,baby
333,na—na—na—nothin'
334,baby
335,na—nothin'
336,bob
337,yeah
338,that's
339,heheheh
340,i'ma
341,let
342,ride
343,bob
344,bruno
345,mars
