,That's the Way Love Goes_Janet Jackson
0,like
1,moth
2,flame
3,burned
4,fire
5,love
6,blind
7,can't
8,see
9,desire
10,that's
11,way
12,love
13,goes
14,that's
15,way
16,love
17,that's
18,way
19,love
20,that's
21,way
22,love
23,goes
24,like
25,moth
26,flame
27,burned
28,fire
29,that's
30,way
31,love
32,blind
33,can't
34,see
35,desire
36,that's
37,way
38,like
39,moth
40,flame
41,burned
42,fire
43,that's
44,way
45,love
46,blind
47,can't
48,see
49,desire
50,that's
51,way
52,love
53,goes
54,like
55,moth
56,flame
57,burned
58,fire
59,that's
60,way
61,that's
62,way
63,that's
64,way
65,love
66,goes
67,that's
68,way
69,love
70,goes
71,love
72,blind
73,can't
74,see
75,desire
76,that's
77,way
78,that's
79,way
80,that's
81,way
82,love
83,goes
84,come
85,worry
86,i'm
87,gonna
88,make
89,crazy
90,i'll
91,give
92,time
93,life
94,i'm
95,gonna
96,take
97,places
98,never
99,happy
100,came
101,ooh
102,i'm
103,gonna
104,take
105,oooh
106,that's
107,way
108,love
109,goes
110,that's
111,way
112,love
113,goes
114,that's
115,way
116,love
117,goes
118,that's
119,way
120,love
121,goes
122,that's
123,way
124,that's
125,way
126,love
127,goes
128,that's
129,way
130,that's
131,way
132,love
133,goes
134,mind
135,light
136,candles
137,like
138,watch
139,us
140,play
141,baby
142,i've
143,got
144,like
145,come
146,closer
147,baby
148,closer
149,reach
150,feel
151,body
152,i'm
153,gonna
154,give
155,love
156,ooh
157,sugar
158,hurry
159,got
160,night
161,close
162,eyes
163,hold
164,tight
165,that's
166,way
167,that's
168,way
169,ooh
170,baby
171,stop
172,stop
173,go
174,deeper
175,baby
176,deeper
177,feel
178,good
179,i'm
180,gonna
181,cry
182,ooh
183,i'm
184,gonna
185,take
186,that's
187,way
188,love
189,goes
190,that's
191,way
192,love
193,goes
194,that's
195,way
196,love
197,goes
198,that's
199,way
200,love
201,goes
202,that's
203,way
204,love
205,goes
206,that's
207,way
208,love
209,goes
210,that's
211,way
212,love
213,goes
214,that's
215,way
216,love
217,goes
218,know
219,goes
220,that's
221,way
222,interlude
223,like
224,moth
225,flame
226,burned
227,fire
228,love
229,blind
230,can't
231,see
232,desire
233,like
234,moth
235,flame
236,burned
237,fire
238,love
239,blind
240,can't
241,see
242,desire
243,that's
244,way
245,that's
246,way
247,that's
248,way
249,that's
250,way
251,that's
252,way
253,that's
254,way
255,that's
256,way
257,love
258,goes
259,that's
260,way
261,love
262,goes
263,that's
264,way
265,that's
266,way
267,that's
268,way
269,love
270,goes
271,goes
272,goes
273,that's
274,way
275,that's
276,way
277,that's
278,way
279,love
280,goes
281,that's
282,way
283,love
284,goes
285,that's
286,way
287,love
288,goes
289,that's
290,way
291,love
292,goes
293,that's
294,way
295,love
296,goes
297,that's
298,way
299,love
300,that's
301,way
302,love
303,that's
304,way
305,love
306,that's
307,way
308,love
309,that's
310,way
311,love
312,that's
313,way
314,love
315,that's
316,way
317,love
318,goes
